trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2076182:5373838:5377517,12:00:00,12:00:00,157007,1,0,,0,0,1
2076182:5373838:5377517,12:06:00,12:06:00,157014,2,2119,,0,0,1
2076182:5373838:5377517,12:12:00,12:12:00,157004,3,6477,,0,0,1
2076182:5373838:5377517,12:18:00,12:18:00,157006,4,13747,,0,0,1
2076182:5373838:5377517,12:31:00,12:31:00,157005,5,29265,,0,0,1
2076182:5373838:5377517,12:44:00,12:44:00,157006,6,44796,,0,0,1
2076182:5373838:5377517,12:57:00,12:57:00,157009,7,56395,,0,0,1
2076182:5373838:5377517,13:01:00,13:01:00,157007,8,58622,,0,0,1
2076178:5374401:5377414,08:55:00,08:55:00,157007,1,0,,0,0,1
2076178:5374401:5377414,09:02:00,09:02:00,157001,2,4827,,0,0,1
2076178:5374401:5377414,09:12:00,09:12:00,157002,3,14040,,0,0,1
2076178:5374401:5377414,09:19:00,09:19:00,157008,4,19496,,0,0,1
2076178:5374401:5377414,09:25:00,09:25:00,157002,5,24925,,0,0,1
2076178:5374401:5377414,09:32:00,09:32:00,157007,6,28217,,0,0,1
2076177:5374485:5377414,09:40:00,09:40:00,157007,1,0,,0,0,1
2076177:5374485:5377414,09:44:00,09:44:00,157010,2,1649,,0,0,1
2076177:5374485:5377414,09:49:00,09:49:00,157009,3,3965,,0,0,1
2076177:5374485:5377414,09:53:00,09:53:00,157007,4,6192,,0,0,1
2076180:5374642:5377470,10:30:00,10:30:00,157007,1,0,,0,0,1
2076180:5374642:5377470,10:34:00,10:34:00,157010,2,1649,,0,0,1
2076180:5374642:5377470,10:39:00,10:39:00,157009,3,3965,,0,0,1
2076180:5374642:5377470,10:43:00,10:43:00,157007,4,6192,,0,0,1
2076180:5374642:5377470,10:48:00,10:48:00,157011,5,8816,,0,0,1
2076180:5374642:5377470,10:50:00,10:50:00,157002,6,9729,,0,0,1
2076180:5374642:5377470,10:57:00,10:57:00,157007,7,13021,,0,0,1
2076176:5374740:5377414,08:00:00,08:00:00,157004,1,0,,0,0,1
2076176:5374740:5377414,08:15:00,08:15:00,157005,2,21187,,0,0,1
2076176:5374740:5377414,08:28:00,08:28:00,157006,3,36718,,0,0,1
2076176:5374740:5377414,08:41:00,08:41:00,157009,4,48317,,0,0,1
2076176:5374740:5377414,08:45:00,08:45:00,157007,5,50544,,0,0,1
2076175:5375324:5377390,14:45:00,14:45:00,104409,1,0,,0,0,1
2076175:5375324:5377390,14:55:00,14:55:00,104503,2,5505,,0,0,1
2076175:5375324:5377390,15:00:00,15:00:00,151044,3,7102,,0,0,1
2076175:5375324:5377390,15:45:00,15:45:00,157013,4,73058,,0,0,1
2076175:5375324:5377390,16:15:00,16:15:00,157012,5,103435,,0,0,1
2076175:5375324:5377390,16:42:00,16:42:00,157002,6,132210,,0,0,0
2076175:5375324:5377390,16:45:00,16:45:00,157015,7,135202,,0,0,1
2076175:5375324:5377390,17:10:00,17:10:00,157005,8,160960,,0,0,1
2076185:5375608:5377567,16:05:00,16:05:00,157007,1,0,,0,0,1
2076185:5375608:5377567,16:12:00,16:12:00,157001,2,4827,,0,0,1
2076185:5375608:5377567,16:22:00,16:22:00,157002,3,14040,,0,0,1
2076185:5375608:5377567,16:29:00,16:29:00,157008,4,19496,,0,0,1
2076185:5375608:5377567,16:35:00,16:35:00,157002,5,24925,,0,0,1
2076185:5375608:5377567,16:42:00,16:42:00,157007,6,28217,,0,0,1
2076186:5375881:5377567,14:53:00,14:53:00,157002,1,0,,0,0,1
2076186:5375881:5377567,15:00:00,15:00:00,157007,2,3292,,0,0,1
2076187:5375924:5377517,13:37:00,13:37:00,157007,1,0,,0,0,1
2076187:5375924:5377517,13:41:00,13:41:00,157010,2,1649,,0,0,1
2076184:5376384:5377567,15:00:00,15:00:00,157007,1,0,,0,0,1
2076184:5376384:5377567,15:06:00,15:06:00,157014,2,2119,,0,0,1
2076184:5376384:5377567,15:12:00,15:12:00,157004,3,6477,,0,0,1
2076184:5376384:5377567,15:18:00,15:18:00,157006,4,13747,,0,0,1
2076184:5376384:5377567,15:31:00,15:31:00,157005,5,29265,,0,0,1
2076184:5376384:5377567,15:55:00,15:55:00,157007,6,57012,,0,0,1
2076183:5376620:5377517,13:10:00,13:10:00,157007,1,0,,0,0,1
2076183:5376620:5377517,13:17:00,13:17:00,157002,2,3230,,0,0,1
2076183:5376620:5377517,13:24:00,13:24:00,157008,3,8686,,0,0,1
2076183:5376620:5377517,13:30:00,13:30:00,157002,4,14115,,0,0,1
2076183:5376620:5377517,13:37:00,13:37:00,157007,5,17407,,0,0,1
2076179:5376770:5377470,10:00:00,10:00:00,157007,1,0,,0,0,1
2076179:5376770:5377470,10:04:00,10:04:00,157010,2,1649,,0,0,1
2076179:5376770:5377470,10:09:00,10:09:00,157009,3,3965,,0,0,1
2076179:5376770:5377470,10:13:00,10:13:00,157007,4,6192,,0,0,1
2076179:5376770:5377470,10:18:00,10:18:00,157011,5,8816,,0,0,1
2076179:5376770:5377470,10:20:00,10:20:00,157002,6,9729,,0,0,1
2076179:5376770:5377470,10:27:00,10:27:00,157007,7,13021,,0,0,1
2076174:5376885:5377351,08:50:00,08:50:00,157015,1,0,,0,0,1
2076174:5376885:5377351,08:53:00,08:53:00,157002,2,3002,,0,0,0
2076174:5376885:5377351,09:25:00,09:25:00,157012,3,31826,,0,0,1
2076174:5376885:5377351,09:45:00,09:45:00,157013,4,62464,,0,0,1
2076174:5376885:5377351,10:45:00,10:45:00,151044,5,127646,,0,0,1
2076174:5376885:5377351,10:55:00,10:55:00,104503,6,129399,,0,0,1
2076174:5376885:5377351,11:05:00,11:05:00,104432,7,134530,,0,0,1
2076181:5377005:5377395,11:30:00,11:30:00,157007,1,0,,0,0,1
2076181:5377005:5377395,11:34:00,11:34:00,157010,2,1649,,0,0,1
2076181:5377005:5377395,11:39:00,11:39:00,157009,3,3965,,0,0,1
2076181:5377005:5377395,11:43:00,11:43:00,157007,4,6192,,0,0,1
2076181:5377005:5377395,11:48:00,11:48:00,157011,5,8816,,0,0,1
2076181:5377005:5377395,11:50:00,11:50:00,157002,6,9729,,0,0,1
2076181:5377005:5377395,11:57:00,11:57:00,157007,7,13021,,0,0,1
