trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2053618:2969630:3012211,17:15:00,17:15:00,104033,1,0,,0,0,1
2053618:2969630:3012211,17:16:00,17:16:00,136066,2,305,,0,0,0
2053618:2969630:3012211,17:17:00,17:17:00,106148,3,686,,0,0,1
2053618:2969630:3012211,17:19:00,17:19:00,106131,4,1566,,0,0,0
2053618:2969630:3012211,17:25:00,17:25:00,108001,5,4049,,0,0,1
2053618:2969630:3012211,17:45:00,17:45:00,106100,6,25854,,0,0,0
2053618:2969630:3012211,17:45:00,17:45:00,106102,7,26071,,0,0,0
2053618:2969630:3012211,17:45:00,17:45:00,106103,8,26235,,0,0,0
2053618:2969630:3012211,17:46:00,17:46:00,106104,9,26537,,0,0,0
2053618:2969630:3012211,17:46:00,17:46:00,106105,10,27196,,0,0,0
2053618:2969630:3012211,17:47:00,17:47:00,106095,11,27985,,0,0,1
2053618:2969630:3012211,17:48:00,17:48:00,106106,12,28557,,0,0,0
2053618:2969630:3012211,17:49:00,17:49:00,106107,13,28865,,0,0,0
2053618:2969630:3012211,17:50:00,17:50:00,106108,14,29525,,0,0,0
2053618:2969630:3012211,17:51:00,17:51:00,106109,15,29754,,0,0,0
2053618:2969630:3012211,17:52:00,17:52:00,106110,16,30067,,0,0,0
2053618:2969630:3012211,17:53:00,17:53:00,108326,17,30695,,0,0,0
2053618:2969630:3012211,17:53:00,17:53:00,106069,18,30884,,0,0,0
2053618:2969630:3012211,17:54:00,17:54:00,108325,19,31133,,0,0,0
2053618:2969630:3012211,17:55:00,17:55:00,106050,20,31623,,0,0,1
2053583:2970145:3014455,16:07:00,16:07:00,108088,1,0,,0,0,1
2053583:2970145:3014455,16:08:00,16:08:00,108172,2,629,,0,0,0
2053583:2970145:3014455,16:29:00,16:29:00,108045,3,15382,,0,0,1
2053583:2970145:3014455,16:30:00,16:30:00,136192,4,15742,,0,0,0
2053583:2970145:3014455,16:32:00,16:32:00,136193,5,17208,,0,0,0
2053583:2970145:3014455,16:46:00,16:46:00,136194,6,25688,,0,0,0
2053583:2970145:3014455,16:54:00,16:54:00,108088,7,30652,,0,0,1
2053634:2970519:3012470,15:09:00,15:09:00,136295,1,0,,0,0,1
2053634:2970519:3012470,15:11:00,15:11:00,136296,2,1162,,0,0,0
2053634:2970519:3012470,15:11:00,15:11:00,136301,3,1456,,0,0,0
2053634:2970519:3012470,15:16:00,15:16:00,136300,4,4983,,0,0,1
2053634:2970519:3012470,15:22:00,15:22:00,108060,5,8303,,0,0,0
2053634:2970519:3012470,15:23:00,15:23:00,136297,6,8646,,0,0,0
