trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2221341:2657911:2667157,11:56:00,11:56:00,162006,1,0,,0,0,1
2221341:2657911:2667261,11:56:00,11:56:00,162006,1,0,,0,0,1
2221341:2657911:2667419,11:56:00,11:56:00,162006,1,0,,0,0,1
2221341:2657911:2667601,11:56:00,11:56:00,162006,1,0,,0,0,1
2221341:2657911:2667157,11:57:00,11:57:00,162008,2,270,,0,0,0
2221341:2657911:2667261,11:57:00,11:57:00,162008,2,270,,0,0,0
2221341:2657911:2667419,11:57:00,11:57:00,162008,2,270,,0,0,0
2221341:2657911:2667601,11:57:00,11:57:00,162008,2,270,,0,0,0
2221341:2657911:2667157,11:59:00,11:59:00,162009,3,979,,0,0,1
2221341:2657911:2667261,11:59:00,11:59:00,162009,3,979,,0,0,1
2221341:2657911:2667419,11:59:00,11:59:00,162009,3,979,,0,0,1
2221341:2657911:2667601,11:59:00,11:59:00,162009,3,979,,0,0,1
2221341:2657911:2667157,12:00:00,12:00:00,162010,4,1271,,0,0,0
2221341:2657911:2667261,12:00:00,12:00:00,162010,4,1271,,0,0,0
2221341:2657911:2667419,12:00:00,12:00:00,162010,4,1271,,0,0,0
2221341:2657911:2667601,12:00:00,12:00:00,162010,4,1271,,0,0,0
2221341:2657911:2667157,12:01:00,12:01:00,162011,5,1791,,0,0,0
2221341:2657911:2667261,12:01:00,12:01:00,162011,5,1791,,0,0,0
2221341:2657911:2667419,12:01:00,12:01:00,162011,5,1791,,0,0,0
2221341:2657911:2667601,12:01:00,12:01:00,162011,5,1791,,0,0,0
2221341:2657911:2667157,12:02:00,12:07:00,162023,6,2296,,0,0,1
2221341:2657911:2667261,12:02:00,12:07:00,162023,6,2296,,0,0,1
2221341:2657911:2667419,12:02:00,12:07:00,162023,6,2296,,0,0,1
2221341:2657911:2667601,12:02:00,12:07:00,162023,6,2296,,0,0,1
2221341:2657911:2667157,12:08:00,12:08:00,162024,7,2889,,0,0,0
2221341:2657911:2667261,12:08:00,12:08:00,162024,7,2889,,0,0,0
2221341:2657911:2667419,12:08:00,12:08:00,162024,7,2889,,0,0,0
2221341:2657911:2667601,12:08:00,12:08:00,162024,7,2889,,0,0,0
2221341:2657911:2667157,12:12:00,12:12:00,162025,8,5714,,0,0,1
2221341:2657911:2667261,12:12:00,12:12:00,162025,8,5714,,0,0,1
2221341:2657911:2667419,12:12:00,12:12:00,162025,8,5714,,0,0,1
2221341:2657911:2667601,12:12:00,12:12:00,162025,8,5714,,0,0,1
2221341:2657911:2667157,12:14:00,12:14:00,162026,9,7141,,0,0,0
2221341:2657911:2667261,12:14:00,12:14:00,162026,9,7141,,0,0,0
2221341:2657911:2667419,12:14:00,12:14:00,162026,9,7141,,0,0,0
