trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2143849:1961796:1977911,08:40:00,08:40:00,196070,1,0,,0,0,1
2143849:1961796:1977911,08:42:00,08:42:00,196081,2,843,,0,0,0
2143849:1961796:1977911,08:43:00,08:43:00,196082,3,1327,,0,0,0
2143849:1961796:1977911,08:44:00,08:44:00,196084,4,1632,,0,0,0
2143849:1961796:1977911,08:45:00,08:45:00,196022,5,1915,,0,0,0
2143849:1961796:1977911,08:45:00,08:45:00,196096,6,2114,,0,0,0
2143849:1961796:1977911,08:46:00,08:46:00,196020,7,2405,,0,0,0
2143849:1961796:1977911,08:46:00,08:46:00,196019,8,2583,,0,0,0
2143849:1961796:1977911,08:47:00,08:47:00,196018,9,2838,,0,0,1
2143849:1961796:1977911,08:47:00,08:47:00,196017,10,3068,,0,0,0
2143849:1961796:1977911,08:48:00,08:48:00,196016,11,3313,,0,0,0
2143849:1961796:1977911,08:48:00,08:48:00,196015,12,3565,,0,0,0
2143849:1961796:1977911,08:49:00,08:49:00,196014,13,3834,,0,0,0
2143849:1961796:1977911,08:50:00,08:50:00,196072,14,4432,,0,0,1
2143849:1961796:1977911,08:51:00,08:51:00,196013,15,4949,,0,0,0
2143849:1961796:1977911,08:52:00,08:52:00,196012,16,5137,,0,0,0
2143849:1961796:1977911,08:52:00,08:52:00,196011,17,5394,,0,0,0
2143849:1961796:1977911,08:53:00,08:53:00,196010,18,5676,,0,0,0
2143849:1961796:1977911,08:54:00,08:54:00,196008,19,6121,,0,0,0
2143849:1961796:1977911,08:54:00,08:54:00,196006,20,6415,,0,0,0
2143849:1961796:1977911,08:55:00,08:55:00,196085,21,6609,,0,0,0
2143849:1961796:1977911,08:55:00,08:55:00,196005,22,6831,,0,0,0
2143849:1961796:1977911,08:56:00,08:56:00,196003,23,7145,,0,0,0
2143849:1961796:1977911,08:57:00,08:57:00,196001,24,7849,,0,0,1
2143849:1961796:1977911,08:58:00,08:58:00,196103,25,8103,,0,0,0
2143849:1961796:1977911,08:58:00,08:58:00,196086,26,8292,,0,0,0
2143849:1961796:1977911,08:59:00,08:59:00,196098,27,8635,,0,0,0
2143849:1961796:1977911,09:00:00,09:00:00,196000,28,9086,,0,0,0
2143849:1961796:1977911,09:00:00,09:00:00,196087,29,9267,,0,0,0
2143849:1961796:1977911,09:01:00,09:01:00,196004,30,9616,,0,0,0
2143849:1961796:1977911,09:02:00,09:02:00,196088,31,9818,,0,0,0
2143849:1961796:1977911,09:02:00,09:02:00,196048,32,10019,,0,0,1
2143849:1961796:1977911,09:03:00,09:03:00,196046,33,10382,,0,0,0
2143849:1961796:1977911,09:04:00,09:04:00,196044,34,11042,,0,0,1
2143849:1961796:1977911,09:05:00,09:05:00,196043,35,11494,,0,0,0
2143849:1961796:1977911,09:06:00,09:06:00,196042,36,11828,,0,0,0
2143849:1961796:1977911,09:06:00,09:06:00,196051,37,12010,,0,0,0
2143849:1961796:1977911,09:07:00,09:07:00,196050,38,12219,,0,0,0
2143849:1961796:1977911,09:07:00,09:07:00,196089,39,12483,,0,0,0
2143849:1961796:1977911,09:08:00,09:08:00,196052,40,12736,,0,0,1
2143849:1961796:1977911,09:09:00,09:09:00,196037,41,13040,,0,0,0
2143849:1961796:1977911,09:10:00,09:10:00,196035,42,13490,,0,0,0
