trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2204239:5397662:5401876,21:00:00,21:00:00,155044,1,0,,0,0,1
2204239:5397662:5401876,21:01:00,21:01:00,155045,2,417,,0,0,0
2204239:5397662:5401876,21:04:00,21:04:00,155043,3,1916,,0,0,1
2204239:5397662:5401876,21:05:00,21:05:00,155040,4,2320,,0,0,0
2204239:5397662:5401876,21:06:00,21:06:00,155041,5,2619,,0,0,1
2204239:5397662:5401876,21:06:00,21:06:00,155042,6,2939,,0,0,0
2204239:5397662:5401876,21:07:00,21:07:00,155046,7,3242,,0,0,0
2204239:5397662:5401876,21:08:00,21:08:00,155038,8,3934,,0,0,1
2204239:5397662:5401876,21:08:00,21:08:00,155048,9,4122,,0,0,0
2204239:5397662:5401876,21:09:00,21:09:00,155049,10,4710,,0,0,0
2204239:5397662:5401876,21:10:00,21:10:00,155050,11,5139,,0,0,0
2204239:5397662:5401876,21:11:00,21:11:00,155001,12,5613,,0,0,1
2204323:5397687:5401878,17:15:00,17:15:00,155001,1,0,,0,0,1
2204323:5397687:5401878,17:15:00,17:15:00,155021,2,93,,0,0,0
2204323:5397687:5401878,17:16:00,17:16:00,155002,3,300,,0,0,0
2204323:5397687:5401878,17:16:00,17:16:00,155003,4,497,,0,0,0
2204323:5397687:5401878,17:16:00,17:16:00,155004,5,604,,0,0,0
2204323:5397687:5401878,17:16:00,17:16:00,155005,6,784,,0,0,0
2204323:5397687:5401878,17:17:00,17:17:00,155006,7,1014,,0,0,0
2204323:5397687:5401878,17:18:00,17:18:00,155007,8,1352,,0,0,0
2204323:5397687:5401878,17:18:00,17:18:00,155008,9,1685,,0,0,0
2204323:5397687:5401878,17:18:00,17:18:00,155009,10,1864,,0,0,0
2204323:5397687:5401878,17:23:00,17:23:00,155080,11,4179,,0,0,0
2204323:5397687:5401878,17:26:00,17:26:00,155026,12,5439,,0,0,0
2204323:5397687:5401878,17:26:00,17:26:00,155082,13,5606,,0,0,1
2204323:5397687:5401878,17:26:00,17:26:00,155027,14,5770,,0,0,0
2204323:5397687:5401878,17:27:00,17:27:00,155028,15,5977,,0,0,0
2204323:5397687:5401878,17:32:00,17:32:00,155081,16,7956,,0,0,0
2204323:5397687:5401878,17:37:00,17:37:00,155010,17,9812,,0,0,0
2204323:5397687:5401878,17:38:00,17:38:00,155011,18,10098,,0,0,0
2204323:5397687:5401878,17:38:00,17:38:00,155012,19,10293,,0,0,1
2204323:5397687:5401878,17:38:00,17:38:00,155013,20,10612,,0,0,0
2204323:5397687:5401878,17:39:00,17:39:00,155014,21,10844,,0,0,0
2204323:5397687:5401878,17:39:00,17:39:00,155015,22,11067,,0,0,0
2204323:5397687:5401878,17:40:00,17:40:00,155016,23,11520,,0,0,0
2204323:5397687:5401878,17:40:00,17:40:00,155017,24,11803,,0,0,0
2204323:5397687:5401878,17:40:00,17:40:00,155018,25,12017,,0,0,0
2204323:5397687:5401878,17:41:00,17:41:00,155019,26,12384,,0,0,0
2204323:5397687:5401878,17:42:00,17:42:00,155034,27,13191,,0,0,1
2204225:5397723:5401876,17:12:00,17:12:00,155001,1,0,,0,0,1
2204225:5397723:5401876,17:12:00,17:12:00,155051,2,245,,0,0,0
2204225:5397723:5401876,17:13:00,17:13:00,155052,3,742,,0,0,0
2204225:5397723:5401876,17:18:00,17:18:00,155053,4,4786,,0,0,0
2204225:5397723:5401876,17:19:00,17:19:00,155054,5,5852,,0,0,0
2204225:5397723:5401876,17:20:00,17:20:00,155055,6,6640,,0,0,0
2204225:5397723:5401876,17:21:00,17:21:00,155056,7,7650,,0,0,0
2204225:5397723:5401876,17:22:00,17:22:00,155057,8,8615,,0,0,0
2204225:5397723:5401876,17:22:00,17:22:00,155058,9,8819,,0,0,0
2204225:5397723:5401876,17:23:00,17:23:00,155059,10,9350,,0,0,0
2204225:5397723:5401876,17:25:00,17:25:00,155060,11,11537,,0,0,0
2204225:5397723:5401876,17:26:00,17:26:00,155061,12,11929,,0,0,0
2204225:5397723:5401876,17:26:00,17:26:00,155062,13,12280,,0,0,1
2204225:5397723:5401876,17:29:00,17:29:00,155063,14,14080,,0,0,0
2204225:5397723:5401876,17:30:00,17:30:00,155064,15,14716,,0,0,0
2204225:5397723:5401876,17:30:00,17:30:00,155065,16,14954,,0,0,0
2204225:5397723:5401876,17:30:00,17:30:00,155066,17,15153,,0,0,0
2204225:5397723:5401876,17:31:00,17:31:00,155067,18,15353,,0,0,0
2204225:5397723:5401876,17:32:00,17:32:00,155068,19,16062,,0,0,0
2204225:5397723:5401876,17:33:00,17:33:00,155069,20,17010,,0,0,0
2204225:5397723:5401876,17:35:00,17:35:00,155070,21,18030,,0,0,0
2204225:5397723:5401876,17:35:00,17:35:00,155071,22,18392,,0,0,0
2204225:5397723:5401876,17:36:00,17:36:00,155072,23,18916,,0,0,0
2204225:5397723:5401876,17:37:00,17:37:00,155073,24,19817,,0,0,0
2204225:5397723:5401876,17:44:00,17:44:00,155074,25,24222,,0,0,0
2204225:5397723:5401876,17:45:00,17:45:00,155075,26,24582,,0,0,0
2204225:5397723:5401876,17:45:00,17:45:00,155034,27,24840,,0,0,1
2204242:5397773:5401876,22:00:00,22:00:00,155044,1,0,,0,0,1
2204242:5397773:5401876,22:01:00,22:01:00,155045,2,417,,0,0,0
2204242:5397773:5401876,22:04:00,22:04:00,155043,3,1916,,0,0,1
2204242:5397773:5401876,22:05:00,22:05:00,155040,4,2320,,0,0,0
2204242:5397773:5401876,22:06:00,22:06:00,155041,5,2619,,0,0,1
2204242:5397773:5401876,22:06:00,22:06:00,155042,6,2939,,0,0,0
2204242:5397773:5401876,22:07:00,22:07:00,155046,7,3242,,0,0,0
2204242:5397773:5401876,22:08:00,22:08:00,155038,8,3934,,0,0,1
2204242:5397773:5401876,22:08:00,22:08:00,155048,9,4122,,0,0,0
2204242:5397773:5401876,22:09:00,22:09:00,155049,10,4710,,0,0,0
2204242:5397773:5401876,22:10:00,22:10:00,155050,11,5139,,0,0,0
2204242:5397773:5401876,22:11:00,22:11:00,155001,12,5613,,0,0,1
2204165:5397799:5401797,16:15:00,16:15:00,155001,1,0,,0,0,1
2204165:5397799:5401797,16:15:00,16:15:00,155021,2,93,,0,0,0
2204165:5397799:5401797,16:16:00,16:16:00,155002,3,300,,0,0,0
2204165:5397799:5401797,16:16:00,16:16:00,155003,4,497,,0,0,0
2204165:5397799:5401797,16:16:00,16:16:00,155004,5,604,,0,0,0
2204165:5397799:5401797,16:16:00,16:16:00,155005,6,784,,0,0,0
2204165:5397799:5401797,16:17:00,16:17:00,155006,7,1014,,0,0,0
2204165:5397799:5401797,16:18:00,16:18:00,155007,8,1352,,0,0,0
2204165:5397799:5401797,16:18:00,16:18:00,155008,9,1685,,0,0,0
2204165:5397799:5401797,16:18:00,16:18:00,155009,10,1864,,0,0,0
2204165:5397799:5401797,16:23:00,16:23:00,155080,11,4179,,0,0,0
2204165:5397799:5401797,16:26:00,16:26:00,155026,12,5439,,0,0,0
2204165:5397799:5401797,16:26:00,16:26:00,155082,13,5606,,0,0,1
2204165:5397799:5401797,16:26:00,16:26:00,155027,14,5770,,0,0,0
2204165:5397799:5401797,16:27:00,16:27:00,155028,15,5977,,0,0,0
2204165:5397799:5401797,16:32:00,16:32:00,155081,16,7956,,0,0,0
2204165:5397799:5401797,16:37:00,16:37:00,155010,17,9812,,0,0,0
2204165:5397799:5401797,16:38:00,16:38:00,155011,18,10098,,0,0,0
2204165:5397799:5401797,16:38:00,16:38:00,155012,19,10293,,0,0,1
2204165:5397799:5401797,16:38:00,16:38:00,155013,20,10612,,0,0,0
2204165:5397799:5401797,16:39:00,16:39:00,155014,21,10844,,0,0,0
2204165:5397799:5401797,16:39:00,16:39:00,155015,22,11067,,0,0,0
2204165:5397799:5401797,16:40:00,16:40:00,155016,23,11520,,0,0,0
2204165:5397799:5401797,16:40:00,16:40:00,155017,24,11803,,0,0,0
2204165:5397799:5401797,16:40:00,16:40:00,155018,25,12017,,0,0,0
2204165:5397799:5401797,16:41:00,16:41:00,155019,26,12384,,0,0,0
2204165:5397799:5401797,16:42:00,16:42:00,155034,27,13191,,0,0,1
2204187:5397888:5401876,08:45:00,08:45:00,155034,1,0,,0,0,1
2204187:5397888:5401876,08:45:00,08:45:00,155035,2,336,,0,0,0
2204187:5397888:5401876,08:46:00,08:46:00,155036,3,782,,0,0,0
2204187:5397888:5401876,08:47:00,08:47:00,155037,4,1386,,0,0,0
2204187:5397888:5401876,08:48:00,08:48:00,155039,5,2047,,0,0,0
2204187:5397888:5401876,08:49:00,08:49:00,155040,6,2340,,0,0,0
