trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2297523:4704748:4774991,18:41:00,18:41:00,115024,1,0,,0,0,1
2297523:4704748:4774991,18:42:00,18:42:00,115025,2,654,,0,0,0
2297523:4704748:4774991,18:43:00,18:43:00,115026,3,1742,,0,0,0
2297523:4704748:4774991,18:43:00,18:43:00,115052,4,1933,,0,0,0
2297523:4704748:4774991,18:51:00,18:51:00,115033,5,8154,,0,0,1
2297523:4704748:4774991,18:52:00,18:52:00,115034,6,8709,,0,0,0
2297523:4704748:4774991,18:53:00,18:53:00,115037,7,9474,,0,0,0
2297523:4704748:4774991,18:54:00,18:54:00,115038,8,9676,,0,0,0
2297523:4704748:4774991,18:54:00,18:54:00,115053,9,10058,,0,0,0
2297523:4704748:4774991,18:55:00,18:55:00,115000,10,10562,,0,0,0
2297523:4704748:4774991,18:56:00,18:56:00,115045,11,10975,,0,0,1
2292618:4704790:4778111,14:52:00,14:52:00,115023,1,0,,0,0,1
2292618:4704790:4778111,15:06:00,15:06:00,115033,2,12956,,0,0,1
2292618:4704790:4778111,15:07:00,15:07:00,115034,3,13511,,0,0,0
2292618:4704790:4778111,15:09:00,15:09:00,115037,4,14276,,0,0,0
2292618:4704790:4778111,15:10:00,15:10:00,115038,5,14478,,0,0,0
2292618:4704790:4778111,15:11:00,15:11:00,115053,6,14860,,0,0,0
2292618:4704790:4778111,15:12:00,15:12:00,115000,7,15364,,0,0,0
2292618:4704790:4778111,15:13:00,15:13:00,115045,8,15777,,0,0,1
2297514:4706329:4774991,15:53:00,15:53:00,115045,1,0,,0,0,1
2297514:4706329:4774991,15:55:00,15:55:00,115042,2,541,,0,0,0
2297514:4706329:4774991,15:56:00,15:56:00,115046,3,1038,,0,0,0
2297514:4706329:4774991,15:58:00,15:58:00,115048,4,1618,,0,0,0
2297514:4706329:4774991,15:59:00,15:59:00,115049,5,1972,,0,0,0
2297514:4706329:4774991,16:01:00,16:01:00,115060,6,2799,,0,0,1
2297514:4706329:4774991,16:02:00,16:02:00,115051,7,3063,,0,0,0
2297514:4706329:4774991,16:02:00,16:02:00,115050,8,3417,,0,0,0
2297514:4706329:4774991,16:03:00,16:03:00,115047,9,3935,,0,0,0
2297514:4706329:4774991,16:04:00,16:04:00,115054,10,4189,,0,0,0
2297514:4706329:4774991,16:05:00,16:05:00,115043,11,4550,,0,0,0
2297514:4706329:4774991,16:05:00,16:05:00,115041,12,4714,,0,0,0
2297514:4706329:4774991,16:06:00,16:06:00,115039,13,5215,,0,0,1
2297514:4706329:4774991,16:09:00,16:09:00,115044,14,6413,,0,0,1
2297514:4706329:4774991,16:13:00,16:13:00,115045,15,7287,,0,0,1
2297521:4706444:4775942,14:04:00,14:04:00,115013,1,0,,0,0,1
2297521:4706444:4775942,14:05:00,14:05:00,115063,2,364,,0,0,0
2297521:4706444:4775942,14:07:00,14:07:00,115010,3,1426,,0,0,1
2297521:4706444:4775942,14:13:00,14:13:00,115001,4,7337,,0,0,1
2297521:4706444:4775942,14:17:00,14:17:00,115002,5,12407,,0,0,0
2297521:4706444:4775942,14:19:00,14:19:00,115003,6,13821,,0,0,0
2297521:4706444:4775942,14:19:00,14:19:00,115005,7,14355,,0,0,1
2297521:4706444:4775942,14:20:00,14:20:00,115007,8,14593,,0,0,0
2297521:4706444:4775942,14:23:00,14:23:00,115014,9,16193,,0,0,0
2297521:4706444:4775942,14:24:00,14:24:00,115013,10,16514,,0,0,1
2297521:4706444:4775942,14:27:00,14:27:00,115019,11,17215,,0,0,1
2292621:4707432:4772559,09:32:00,09:32:00,115062,1,0,,0,0,1
2292621:4707432:4772559,10:19:00,10:19:00,115001,2,59345,,0,0,1
2292621:4707432:4772559,10:29:00,10:29:00,115002,3,64415,,0,0,0
2292621:4707432:4772559,10:32:00,10:32:00,115014,4,66272,,0,0,0
2292621:4707432:4772559,10:33:00,10:33:00,115013,5,66593,,0,0,1
2292621:4707432:4772559,10:52:00,10:52:00,115059,6,88573,,0,0,0
2292621:4707432:4772559,11:03:00,11:03:00,115027,7,101668,,0,0,1
2292621:4707432:4772559,11:10:00,11:10:00,115033,8,106464,,0,0,0
2292621:4707432:4772559,11:11:00,11:11:00,115034,9,107019,,0,0,0
2292621:4707432:4772559,11:12:00,11:12:00,115037,10,107784,,0,0,0
2292621:4707432:4772559,11:12:00,11:12:00,115038,11,107986,,0,0,0
2292621:4707432:4772559,11:13:00,11:13:00,115053,12,108368,,0,0,0
2292621:4707432:4772559,11:13:00,11:13:00,115000,13,108872,,0,0,0
2292621:4707432:4772559,11:14:00,11:14:00,115045,14,109285,,0,0,1
2297526:4707570:4776156,09:24:00,09:24:00,115045,1,0,,0,0,1
2297526:4707570:4776156,09:25:00,09:25:00,115040,2,659,,0,0,0
2297526:4707570:4776156,09:27:00,09:27:00,115036,3,1560,,0,0,0
2297526:4707570:4776156,09:28:00,09:28:00,115035,4,2052,,0,0,0
2297526:4707570:4776156,09:30:00,09:30:00,115055,5,2898,,0,0,1
2297526:4707570:4776156,09:38:00,09:38:00,115027,6,7743,,0,0,0
2297526:4707570:4776156,09:41:00,09:41:00,115028,7,9121,,0,0,0
2297526:4707570:4776156,09:41:00,09:41:00,115029,8,9279,,0,0,0
2297526:4707570:4776156,09:42:00,09:42:00,115030,9,9722,,0,0,0
2297526:4707570:4776156,09:43:00,09:43:00,115064,10,10832,,0,0,0
2297526:4707570:4776156,09:44:00,09:44:00,115065,11,10978,,0,0,0
2297526:4707570:4776156,09:44:00,09:44:00,115031,12,11203,,0,0,1
2297560:4707818:4776434,16:52:00,16:52:00,115062,1,0,,0,0,1
2297560:4707818:4776434,17:39:00,17:39:00,115001,2,59345,,0,0,1
2297560:4707818:4776434,17:49:00,17:49:00,115002,3,64415,,0,0,0
2297560:4707818:4776434,17:52:00,17:52:00,115014,4,66272,,0,0,0
2297560:4707818:4776434,17:53:00,17:53:00,115013,5,66593,,0,0,1
2297560:4707818:4776434,18:12:00,18:12:00,115059,6,88573,,0,0,0
2297560:4707818:4776434,18:23:00,18:23:00,115027,7,101668,,0,0,1
2297560:4707818:4776434,18:30:00,18:30:00,115033,8,106464,,0,0,0
2297560:4707818:4776434,18:31:00,18:31:00,115034,9,107019,,0,0,0
2297560:4707818:4776434,18:32:00,18:32:00,115037,10,107784,,0,0,0
2297560:4707818:4776434,18:32:00,18:32:00,115038,11,107986,,0,0,0
2297560:4707818:4776434,18:33:00,18:33:00,115053,12,108368,,0,0,0
2297560:4707818:4776434,18:33:00,18:33:00,115000,13,108872,,0,0,0
2297560:4707818:4776434,18:34:00,18:34:00,115045,14,109285,,0,0,1
2297504:4707892:4775842,07:25:00,07:25:00,115019,1,0,,0,0,1
2297504:4707892:4775842,07:27:00,07:27:00,115017,2,641,,0,0,1
2297504:4707892:4775842,07:28:00,07:28:00,115016,3,882,,0,0,0
2297504:4707892:4775842,07:29:00,07:29:00,115057,4,1464,,0,0,0
2297504:4707892:4775842,07:30:00,07:30:00,115008,5,2043,,0,0,0
2297504:4707892:4775842,07:30:00,07:30:00,115006,6,2234,,0,0,0
2297504:4707892:4775842,07:31:00,07:31:00,115061,7,2501,,0,0,1
2297504:4707892:4775842,07:31:00,07:31:00,115058,8,2718,,0,0,0
2297504:4707892:4775842,07:45:00,07:45:00,115059,9,23208,,0,0,1
2297504:4707892:4775842,07:57:00,07:57:00,115027,10,36303,,0,0,1
2297504:4707892:4775842,08:02:00,08:02:00,115033,11,41099,,0,0,1
2297504:4707892:4775842,08:03:00,08:03:00,115034,12,41654,,0,0,0
2297504:4707892:4775842,08:04:00,08:04:00,115037,13,42419,,0,0,0
2297504:4707892:4775842,08:05:00,08:05:00,115038,14,42621,,0,0,0
2297504:4707892:4775842,08:05:00,08:05:00,115053,15,43003,,0,0,0
2297504:4707892:4775842,08:06:00,08:06:00,115000,16,43507,,0,0,0
2297504:4707892:4775842,08:07:00,08:07:00,115045,17,43920,,0,0,1
2297529:4708142:4775942,17:15:00,17:15:00,115031,1,0,,0,0,1
2297529:4708142:4775942,17:16:00,17:16:00,115032,2,831,,0,0,0
2297529:4708142:4775942,17:19:00,17:19:00,115027,3,3192,,0,0,0
2297529:4708142:4775942,17:26:00,17:26:00,115033,4,7988,,0,0,1
2297529:4708142:4775942,17:27:00,17:27:00,115034,5,8543,,0,0,0
2297529:4708142:4775942,17:28:00,17:28:00,115037,6,9308,,0,0,0
2297529:4708142:4775942,17:29:00,17:29:00,115038,7,9510,,0,0,0
2297529:4708142:4775942,17:29:00,17:29:00,115053,8,9892,,0,0,0
2297529:4708142:4775942,17:30:00,17:30:00,115000,9,10396,,0,0,0
2297529:4708142:4775942,17:31:00,17:31:00,115045,10,10809,,0,0,1
2297510:4710422:4775942,12:26:00,12:26:00,115045,1,0,,0,0,1
2297510:4710422:4775942,12:27:00,12:27:00,115040,2,659,,0,0,0
2297510:4710422:4775942,12:29:00,12:29:00,115036,3,1560,,0,0,0
2297510:4710422:4775942,12:30:00,12:30:00,115035,4,2052,,0,0,0
2297510:4710422:4775942,12:32:00,12:32:00,115055,5,2898,,0,0,1
2297510:4710422:4775942,12:48:00,12:48:00,115020,6,17788,,0,0,1
2297510:4710422:4775942,12:50:00,12:50:00,115021,7,18321,,0,0,0
2297510:4710422:4775942,12:53:00,12:53:00,115066,8,19519,,0,0,0
2297510:4710422:4775942,12:54:00,12:54:00,115067,9,19843,,0,0,0
2297510:4710422:4775942,12:55:00,12:55:00,115068,10,19975,,0,0,0
2297510:4710422:4775942,12:55:00,12:55:00,115023,11,20098,,0,0,1
2292655:4710862:4778035,10:27:00,10:27:00,115013,1,0,,0,0,1
2292655:4710862:4778035,10:47:00,10:47:00,115059,2,21980,,0,0,1
2292655:4710862:4778035,10:59:00,10:59:00,115027,3,35075,,0,0,1
2292655:4710862:4778035,11:04:00,11:04:00,115033,4,39871,,0,0,1
2292655:4710862:4778035,11:05:00,11:05:00,115034,5,40426,,0,0,0
2292655:4710862:4778035,11:06:00,11:06:00,115037,6,41191,,0,0,0
2292655:4710862:4778035,11:07:00,11:07:00,115038,7,41393,,0,0,0
2292655:4710862:4778035,11:07:00,11:07:00,115053,8,41775,,0,0,0
2292655:4710862:4778035,11:08:00,11:08:00,115000,9,42279,,0,0,0
2292655:4710862:4778035,11:09:00,11:09:00,115045,10,42692,,0,0,1
2292347:4711208:4772954,08:04:00,08:04:00,115013,1,0,,0,0,1
2292347:4711208:4772954,08:05:00,08:05:00,115063,2,364,,0,0,0
2292347:4711208:4772954,08:07:00,08:07:00,115010,3,1426,,0,0,1
2292347:4711208:4772954,08:13:00,08:13:00,115001,4,7337,,0,0,1
