trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2277151:5433874:5438966,16:40:00,16:40:00,102713,1,0,,0,0,1
2277151:5433874:5438966,16:41:00,16:41:00,102456,2,692,,0,0,0
2277151:5433874:5438966,16:44:00,16:44:00,102542,3,2881,,0,0,0
2277151:5433874:5438966,16:45:00,16:45:00,102594,4,4146,,0,0,0
2277151:5433874:5438966,16:46:00,16:46:00,102600,5,4600,,0,0,1
2277151:5433874:5438966,16:47:00,16:47:00,102620,6,5084,,0,0,0
2277151:5433874:5438966,16:50:00,16:50:00,102703,7,6480,,0,0,1
2277151:5433874:5438966,16:51:00,16:51:00,102629,8,7658,,0,0,0
2277151:5433874:5438966,16:53:00,16:53:00,102659,9,9191,,0,0,0
2277151:5433874:5438966,17:20:00,17:20:00,102839,10,32682,,0,0,0
2277151:5433874:5438966,17:21:00,17:21:00,102834,11,33296,,0,0,0
2277151:5433874:5438966,17:21:00,17:21:00,102835,12,33588,,0,0,0
2277151:5433874:5438966,17:21:00,17:21:00,102838,13,33806,,0,0,0
2277151:5433874:5438966,17:22:00,17:22:00,102842,14,34091,,0,0,0
2277151:5433874:5438966,17:22:00,17:22:00,135000,15,34417,,0,0,1
2277149:5434496:5439000,15:55:00,15:55:00,135000,1,0,,0,0,1
2277149:5434496:5439000,15:56:00,15:56:00,102837,2,458,,0,0,0
2277149:5434496:5439000,15:56:00,15:56:00,102833,3,868,,0,0,0
2277149:5434496:5439000,15:57:00,15:57:00,102840,4,1402,,0,0,0
2277149:5434496:5439000,16:00:00,16:00:00,102845,5,3345,,0,0,0
2277149:5434496:5439000,16:04:00,16:04:00,102847,6,6713,,0,0,0
2277149:5434496:5439000,16:06:00,16:06:00,102849,7,7664,,0,0,0
2277149:5434496:5439000,16:07:00,16:07:00,102848,8,8678,,0,0,1
2277149:5434496:5439000,16:22:00,16:22:00,102850,9,18629,,0,0,1
2277149:5434496:5439000,16:24:00,16:24:00,102852,10,19363,,0,0,0
2277149:5434496:5439000,16:28:00,16:28:00,102851,11,20565,,0,0,1
2277149:5434496:5439000,16:43:00,16:43:00,102848,12,30556,,0,0,1
2277149:5434496:5439000,16:45:00,16:45:00,102846,13,32206,,0,0,0
2277149:5434496:5439000,16:50:00,16:50:00,102844,14,35640,,0,0,0
2277149:5434496:5439000,16:53:00,16:53:00,102836,15,37699,,0,0,0
2277149:5434496:5439000,16:53:00,16:53:00,102834,16,37969,,0,0,0
2277149:5434496:5439000,16:54:00,16:54:00,102835,17,38261,,0,0,0
2277149:5434496:5439000,16:54:00,16:54:00,102838,18,38479,,0,0,0
2277149:5434496:5439000,16:55:00,16:55:00,102842,19,38764,,0,0,0
2277149:5434496:5439000,16:55:00,16:55:00,135000,20,39090,,0,0,1
2277141:5434557:5438860,05:57:00,05:57:00,135000,1,0,,0,0,1
2277141:5434557:5438860,05:58:00,05:58:00,102837,2,458,,0,0,0
2277141:5434557:5438860,05:58:00,05:58:00,102833,3,868,,0,0,0
2277141:5434557:5438860,05:59:00,05:59:00,102840,4,1402,,0,0,0
2277141:5434557:5438860,06:02:00,06:02:00,102845,5,3345,,0,0,0
2277141:5434557:5438860,06:06:00,06:06:00,102847,6,6713,,0,0,0
2277141:5434557:5438860,06:08:00,06:08:00,102849,7,7664,,0,0,0
2277141:5434557:5438860,06:09:00,06:09:00,102848,8,8678,,0,0,1
2277141:5434557:5438860,06:24:00,06:24:00,102850,9,18629,,0,0,1
