trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2056617:4614145:4619678,17:45:00,17:45:00,111750,1,0,,0,0,1
2056617:4614145:4619678,17:46:00,17:46:00,111751,2,502,,0,0,0
2056617:4614145:4619678,17:48:00,17:48:00,111752,3,1150,,0,0,1
2056617:4614145:4619678,17:50:00,17:50:00,111753,4,2164,,0,0,0
2056617:4614145:4619678,17:51:00,17:51:00,111754,5,2410,,0,0,0
2056617:4614145:4619678,17:51:00,17:51:00,111755,6,2764,,0,0,0
2056617:4614145:4619678,17:52:00,17:52:00,111756,7,3030,,0,0,0
2056617:4614145:4619678,17:53:00,17:53:00,111757,8,3287,,0,0,0
2056617:4614145:4619678,17:53:00,17:53:00,111758,9,3515,,0,0,0
2056617:4614145:4619678,17:53:00,17:53:00,111759,10,3750,,0,0,0
2056617:4614145:4619678,17:55:00,17:55:00,111760,11,4242,,0,0,0
2056617:4614145:4619678,17:55:00,17:55:00,111761,12,4478,,0,0,1
2056617:4614145:4619678,17:56:00,17:56:00,111886,13,5001,,0,0,0
2056617:4614145:4619678,17:57:00,17:57:00,111762,14,5696,,0,0,0
2056617:4614145:4619678,17:58:00,17:58:00,111763,15,6141,,0,0,0
2056617:4614145:4619678,17:59:00,17:59:00,111764,16,6478,,0,0,0
2056617:4614145:4619678,18:00:00,18:00:00,111765,17,6916,,0,0,0
2056617:4614145:4619678,18:00:00,18:00:00,111766,18,7103,,0,0,1
2056617:4614145:4619678,18:01:00,18:01:00,114001,19,7466,,0,0,0
2056617:4614145:4619678,18:02:00,18:02:00,111768,20,7892,,0,0,0
2056617:4614145:4619678,18:02:00,18:02:00,111769,21,8012,,0,0,0
2056617:4614145:4619678,18:02:00,18:02:00,114002,22,8222,,0,0,0
2056617:4614145:4619678,18:03:00,18:03:00,111771,23,8559,,0,0,0
2056617:4614145:4619678,18:04:00,18:04:00,111772,24,8865,,0,0,0
2056617:4614145:4619678,18:04:00,18:04:00,111773,25,9094,,0,0,0
2056617:4614145:4619678,18:05:00,18:05:00,111892,26,9387,,0,0,0
2056617:4614145:4619678,18:05:00,18:05:00,111774,27,9556,,0,0,0
2056617:4614145:4619678,18:05:00,18:05:00,111775,28,9738,,0,0,0
2056617:4614145:4619678,18:06:00,18:06:00,111776,29,9977,,0,0,0
2056617:4614145:4619678,18:06:00,18:06:00,111777,30,10297,,0,0,0
