trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2270588:2880432:2885449,10:27:00,10:27:00,116035,1,0,,0,0,1
2270588:2880432:2885449,10:28:00,10:28:00,164141,2,387,,0,0,0
2270588:2880432:2885449,10:28:00,10:28:00,164102,3,590,,0,0,0
2270588:2880432:2885449,10:28:00,10:28:00,116020,4,731,,0,0,0
2270588:2880432:2885449,10:31:00,10:31:00,164089,5,2681,,0,0,0
2270588:2880432:2885449,10:31:00,10:31:00,116029,6,2894,,0,0,0
2270588:2880432:2885449,10:32:00,10:32:00,164134,7,3525,,0,0,1
2270588:2880432:2885449,10:38:00,10:38:00,116012,8,9082,,0,0,1
2270588:2880432:2885449,10:42:00,10:42:00,116042,9,13867,,0,0,0
2270588:2880432:2885449,10:44:00,10:44:00,164181,10,15873,,0,0,1
2270588:2880432:2885449,10:47:00,10:47:00,116040,11,17772,,0,0,0
2270588:2880432:2885449,10:49:00,10:49:00,164130,12,19262,,0,0,1
2270588:2880432:2885449,10:54:00,10:54:00,164174,13,22904,,0,0,1
2270588:2880432:2885449,10:56:00,10:56:00,164178,14,24740,,0,0,0
2270588:2880432:2885449,10:59:00,10:59:00,164150,15,27464,,0,0,1
2270588:2880432:2885449,11:10:00,11:10:00,116014,16,38032,,0,0,1
2270667:2880704:2885477,13:17:00,13:17:00,116035,1,0,,0,0,1
2270667:2880704:2885477,13:18:00,13:18:00,164141,2,387,,0,0,0
2270667:2880704:2885477,13:18:00,13:18:00,164102,3,590,,0,0,0
2270667:2880704:2885477,13:18:00,13:18:00,116020,4,731,,0,0,0
2270667:2880704:2885477,13:21:00,13:21:00,164089,5,2681,,0,0,0
2270667:2880704:2885477,13:21:00,13:21:00,116029,6,2894,,0,0,0
2270667:2880704:2885477,13:22:00,13:22:00,164134,7,3525,,0,0,1
2270667:2880704:2885477,13:28:00,13:28:00,116012,8,9082,,0,0,1
2270667:2880704:2885477,13:32:00,13:32:00,116042,9,13867,,0,0,0
2270667:2880704:2885477,13:34:00,13:34:00,164181,10,15873,,0,0,1
2270667:2880704:2885477,13:37:00,13:37:00,116040,11,17772,,0,0,0
2270667:2880704:2885477,13:39:00,13:39:00,164130,12,19262,,0,0,1
2270667:2880704:2885477,13:44:00,13:44:00,164174,13,22904,,0,0,1
2270667:2880704:2885477,13:46:00,13:46:00,164178,14,24740,,0,0,0
2270667:2880704:2885477,13:49:00,13:49:00,164150,15,27464,,0,0,1
2270667:2880704:2885477,14:00:00,14:00:00,116014,16,38032,,0,0,1
2270664:2881321:3162050,11:25:00,11:25:00,116014,1,0,,0,0,1
2270664:2881321:3162050,11:25:00,11:25:00,116043,2,270,,0,0,0
2270664:2881321:3162050,11:36:00,11:36:00,116056,3,10618,,0,0,1
2270664:2881321:3162050,11:41:00,11:41:00,164189,4,13349,,0,0,0
2270664:2881321:3162050,11:44:00,11:44:00,164160,5,15186,,0,0,1
2270664:2881321:3162050,11:46:00,11:46:00,116039,6,17311,,0,0,0
2270664:2881321:3162050,11:48:00,11:48:00,164176,7,19210,,0,0,1
2270664:2881321:3162050,11:50:00,11:50:00,116041,8,21220,,0,0,0
2270664:2881321:3162050,11:54:00,11:54:00,116013,9,26005,,0,0,1
2270664:2881321:3162050,12:00:00,12:00:00,164136,10,31556,,0,0,1
2270664:2881321:3162050,12:02:00,12:02:00,164090,11,32357,,0,0,0
2270664:2881321:3162050,12:04:00,12:04:00,164095,12,33503,,0,0,0
2270664:2881321:3162050,12:05:00,12:05:00,164096,13,33798,,0,0,0
2270664:2881321:3162050,12:06:00,12:06:00,164097,14,33994,,0,0,0
2270664:2881321:3162050,12:06:00,12:06:00,164118,15,34251,,0,0,0
2270664:2881321:3162050,12:06:00,12:06:00,116038,16,34398,,0,0,0
2270664:2881321:3162050,12:07:00,12:07:00,116057,17,34583,,0,0,0
2270664:2881321:3162050,12:07:00,12:07:00,116021,18,34829,,0,0,0
2270664:2881321:3162050,12:08:00,12:08:00,164098,19,34999,,0,0,0
2270664:2881321:3162050,12:08:00,12:08:00,164139,20,35186,,0,0,0
2270664:2881321:3162050,12:09:00,12:09:00,116035,21,35545,,0,0,1
2270586:2881513:4637477,09:41:00,09:41:00,116000,1,0,,0,0,1
2270586:2881513:4637477,09:47:00,09:47:00,164187,2,2981,,0,0,1
2270586:2881513:4637477,09:53:00,09:53:00,164190,3,8159,,0,0,1
2270586:2881513:4637477,09:59:00,09:59:00,164182,4,12226,,0,0,1
2270586:2881513:4637477,10:05:00,10:05:00,116003,5,16607,,0,0,0
2270586:2881513:4637477,10:05:00,10:05:00,116004,6,16945,,0,0,1
2270586:2881513:4637477,10:10:00,10:10:00,164171,7,20227,,0,0,1
2270586:2881513:4637477,10:13:00,10:13:00,164175,8,22020,,0,0,0
2270586:2881513:4637477,10:14:00,10:14:00,164179,9,22735,,0,0,0
2270586:2881513:4637477,10:14:00,10:14:00,164032,10,22848,,0,0,0
2270586:2881513:4637477,10:14:00,10:14:00,164033,11,23148,,0,0,0
2270586:2881513:4637477,10:14:00,10:14:00,116028,12,23306,,0,0,0
2270586:2881513:4637477,10:21:00,10:21:00,164144,13,27361,,0,0,0
2270586:2881513:4637477,10:22:00,10:22:00,164142,14,27653,,0,0,0
2270586:2881513:4637477,10:22:00,10:22:00,164177,15,27843,,0,0,0
2270586:2881513:4637477,10:22:00,10:22:00,164139,16,28045,,0,0,0
2270586:2881513:4637477,10:23:00,10:23:00,116035,17,28404,,0,0,1
2270662:2881578:2885397,07:41:00,07:41:00,116035,1,0,,0,0,1
2270662:2881578:2885397,07:42:00,07:42:00,164141,2,387,,0,0,0
2270662:2881578:2885397,07:42:00,07:42:00,164102,3,590,,0,0,0
2270662:2881578:2885397,07:42:00,07:42:00,116020,4,731,,0,0,0
2270662:2881578:2885397,07:45:00,07:45:00,164089,5,2681,,0,0,0
2270662:2881578:2885397,07:45:00,07:45:00,116029,6,2894,,0,0,0
2270662:2881578:2885397,07:46:00,07:46:00,164134,7,3525,,0,0,1
2270662:2881578:2885397,07:52:00,07:52:00,116012,8,9082,,0,0,1
2270662:2881578:2885397,07:56:00,07:56:00,116042,9,13867,,0,0,0
2270662:2881578:2885397,07:58:00,07:58:00,164181,10,15873,,0,0,1
2270662:2881578:2885397,08:00:00,08:00:00,116040,11,17772,,0,0,0
2270662:2881578:2885397,08:02:00,08:02:00,164174,12,19888,,0,0,1
2270662:2881578:2885397,08:04:00,08:04:00,164178,13,21724,,0,0,0
2270662:2881578:2885397,08:07:00,08:07:00,164150,14,24448,,0,0,1
2270590:2881815:2885449,14:10:00,14:10:00,116014,1,0,,0,0,1
2270590:2881815:2885449,14:10:00,14:10:00,116043,2,270,,0,0,0
2270590:2881815:2885449,14:21:00,14:21:00,116056,3,10618,,0,0,1
2270590:2881815:2885449,14:26:00,14:26:00,164189,4,13349,,0,0,0
2270590:2881815:2885449,14:29:00,14:29:00,164160,5,15186,,0,0,1
2270590:2881815:2885449,14:31:00,14:31:00,116039,6,17311,,0,0,0
2270590:2881815:2885449,14:33:00,14:33:00,164176,7,19210,,0,0,1
2270590:2881815:2885449,14:35:00,14:35:00,116041,8,21220,,0,0,0
2270590:2881815:2885449,14:39:00,14:39:00,116013,9,26005,,0,0,1
2270590:2881815:2885449,14:45:00,14:45:00,164136,10,31556,,0,0,1
2270590:2881815:2885449,14:47:00,14:47:00,164090,11,32357,,0,0,0
2270590:2881815:2885449,14:49:00,14:49:00,164095,12,33503,,0,0,0
2270590:2881815:2885449,14:50:00,14:50:00,164096,13,33798,,0,0,0
2270590:2881815:2885449,14:51:00,14:51:00,164097,14,33994,,0,0,0
2270590:2881815:2885449,14:51:00,14:51:00,164118,15,34251,,0,0,0
2270590:2881815:2885449,14:51:00,14:51:00,116038,16,34398,,0,0,0
2270590:2881815:2885449,14:52:00,14:52:00,116057,17,34583,,0,0,0
2270590:2881815:2885449,14:52:00,14:52:00,116021,18,34829,,0,0,0
2270590:2881815:2885449,14:53:00,14:53:00,164098,19,34999,,0,0,0
2270590:2881815:2885449,14:53:00,14:53:00,164139,20,35186,,0,0,0
2270590:2881815:2885449,14:54:00,14:54:00,116035,21,35545,,0,0,1
2270583:2882214:2885420,06:30:00,06:30:00,116035,1,0,,0,0,1
