trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2017954:4619971:4624075,16:04:00,16:04:00,105014,1,0,,0,0,1
2017954:4619971:4624075,16:05:00,16:05:00,105101,2,356,,0,0,0
2017954:4619971:4624075,16:08:00,16:08:00,105412,3,2137,,0,0,1
2017954:4619971:4624075,16:09:00,16:09:00,105413,4,2779,,0,0,0
2017954:4619971:4624075,16:10:00,16:10:00,105414,5,3425,,0,0,0
2017954:4619971:4624075,16:11:00,16:11:00,180053,6,3772,,0,0,0
2017954:4619971:4624075,16:12:00,16:12:00,105417,7,4234,,0,0,0
2017954:4619971:4624075,16:14:00,16:14:00,105418,8,5362,,0,0,0
2017954:4619971:4624075,16:14:00,16:14:00,105415,9,5797,,0,0,0
2017954:4619971:4624075,16:15:00,16:15:00,105416,10,6063,,0,0,0
2017954:4619971:4624075,16:16:00,16:16:00,105419,11,6762,,0,0,1
2017954:4619971:4624075,16:21:00,16:21:00,105149,12,10855,,0,0,1
2017954:4619971:4624075,16:21:00,16:21:00,105148,13,11129,,0,0,0
2017954:4619971:4624075,16:22:00,16:22:00,105151,14,11323,,0,0,0
2017954:4619971:4624075,16:22:00,16:22:00,105176,15,11547,,0,0,0
2017954:4619971:4624075,16:22:00,16:22:00,105157,16,11895,,0,0,0
2017954:4619971:4624075,16:22:00,16:22:00,105174,17,12080,,0,0,0
2017954:4619971:4624075,16:23:00,16:23:00,105170,18,12369,,0,0,0
2017954:4619971:4624075,16:23:00,16:23:00,105166,19,12642,,0,0,1
2017954:4619971:4624075,16:24:00,16:24:00,105171,20,12978,,0,0,0
2017954:4619971:4624075,16:24:00,16:24:00,105173,21,13164,,0,0,0
2017954:4619971:4624075,16:24:00,16:24:00,105398,22,13383,,0,0,0
2017954:4619971:4624075,16:25:00,16:25:00,105399,23,13556,,0,0,0
2017954:4619971:4624075,16:25:00,16:25:00,105394,24,13749,,0,0,0
2017954:4619971:4624075,16:26:00,16:26:00,105400,25,14053,,0,0,0
2017954:4619971:4624075,16:26:00,16:26:00,105401,26,14296,,0,0,0
2017954:4619971:4624075,16:27:00,16:27:00,105454,27,14577,,0,0,0
2017954:4619971:4624075,16:28:00,16:28:00,105008,28,15264,,0,0,1
2017926:4619991:4623867,09:53:00,09:53:00,105019,1,0,,0,0,1
2017926:4619991:4623867,09:55:00,09:55:00,105114,2,511,,0,0,0
2017926:4619991:4623867,09:56:00,09:56:00,105007,3,1011,,0,0,1
2017926:4619991:4623867,09:57:00,09:57:00,105434,4,1602,,0,0,0
2017926:4619991:4623867,09:58:00,09:58:00,105436,5,1968,,0,0,0
2017926:4619991:4623867,09:59:00,09:59:00,105438,6,2216,,0,0,0
2017926:4619991:4623867,09:59:00,09:59:00,105439,7,2412,,0,0,0
2017926:4619991:4623867,09:59:00,09:59:00,105440,8,2567,,0,0,0
2017926:4619991:4623867,10:02:00,10:02:00,105442,9,3650,,0,0,0
2017926:4619991:4623867,10:02:00,10:02:00,105443,10,3888,,0,0,0
2017926:4619991:4623867,10:03:00,10:03:00,105286,11,4166,,0,0,0
2017926:4619991:4623867,10:04:00,10:04:00,105445,12,4375,,0,0,0
2017926:4619991:4623867,10:04:00,10:04:00,105446,13,4603,,0,0,0
2017926:4619991:4623867,10:05:00,10:05:00,105447,14,4908,,0,0,0
2017926:4619991:4623867,10:05:00,10:05:00,105488,15,5140,,0,0,0
2017926:4619991:4623867,10:07:00,10:07:00,105011,16,5901,,0,0,1
2017926:4619991:4623867,10:09:00,10:09:00,105285,17,6818,,0,0,0
2017926:4619991:4623867,10:10:00,10:10:00,105283,18,7331,,0,0,0
2017926:4619991:4623867,10:12:00,10:12:00,180051,19,7870,,0,0,0
2017926:4619991:4623867,10:12:00,10:12:00,105021,20,8078,,0,0,1
2017926:4619991:4623867,10:15:00,10:15:00,105023,21,8371,,0,0,0
2017926:4619991:4623867,10:18:00,10:18:00,105026,22,8765,,0,0,1
2017926:4619991:4623867,10:22:00,10:32:00,105014,23,9965,,0,0,1
2017926:4619991:4623867,10:33:00,10:33:00,105101,24,10321,,0,0,0
2017926:4619991:4623867,10:38:00,10:38:00,105511,25,14018,,0,0,0
2017926:4619991:4623867,10:38:00,10:38:00,105512,26,14396,,0,0,0
2017926:4619991:4623867,10:40:00,10:40:00,105180,27,15415,,0,0,0
2017926:4619991:4623867,10:41:00,10:41:00,105188,28,16330,,0,0,0
2017926:4619991:4623867,10:42:00,10:42:00,105187,29,16829,,0,0,0
2017926:4619991:4623867,10:43:00,10:43:00,105186,30,17557,,0,0,0
2017926:4619991:4623867,10:44:00,10:44:00,105185,31,18567,,0,0,0
2017926:4619991:4623867,10:45:00,10:45:00,105184,32,19056,,0,0,0
2017926:4619991:4623867,10:46:00,10:46:00,105183,33,19526,,0,0,0
2017926:4619991:4623867,10:46:00,10:46:00,105812,34,19862,,0,0,0
2017926:4619991:4623867,10:47:00,10:47:00,105181,35,20156,,0,0,0
2017926:4619991:4623867,10:47:00,10:47:00,105173,36,20446,,0,0,0
2017926:4619991:4623867,10:47:00,10:47:00,105398,37,20665,,0,0,0
2017926:4619991:4623867,10:48:00,10:48:00,105399,38,20838,,0,0,0
2017926:4619991:4623867,10:48:00,10:48:00,105394,39,21031,,0,0,0
2017926:4619991:4623867,10:48:00,10:48:00,105400,40,21335,,0,0,0
2017926:4619991:4623867,10:49:00,10:49:00,105401,41,21578,,0,0,0
2017926:4619991:4623867,10:49:00,10:49:00,105454,42,21859,,0,0,0
2017926:4619991:4623867,10:50:00,10:50:00,105008,43,22546,,0,0,1
2017903:4620002:4623858,09:30:00,09:30:00,105017,1,0,,0,0,1
2017903:4620002:4623858,09:35:00,09:35:00,105060,2,2817,,0,0,0
2017903:4620002:4623858,09:37:00,09:37:00,180002,3,4053,,0,0,0
2017903:4620002:4623858,09:38:00,09:38:00,105006,4,4774,,0,0,1
2017903:4620002:4623858,09:39:00,09:39:00,105379,5,5707,,0,0,0
2017903:4620002:4623858,09:40:00,09:40:00,105378,6,5929,,0,0,0
2017903:4620002:4623858,09:40:00,09:40:00,105372,7,6183,,0,0,0
2017903:4620002:4623858,09:41:00,09:41:00,105371,8,6698,,0,0,0
2017903:4620002:4623858,09:41:00,09:41:00,105370,9,6891,,0,0,0
2017903:4620002:4623858,09:42:00,09:42:00,105369,10,7181,,0,0,0
2017903:4620002:4623858,09:42:00,09:42:00,105368,11,7418,,0,0,1
2017903:4620002:4623858,09:43:00,09:43:00,105049,12,7623,,0,0,0
2017903:4620002:4623858,09:43:00,09:43:00,105050,13,7897,,0,0,0
2017903:4620002:4623858,09:44:00,09:44:00,105051,14,8175,,0,0,0
2017903:4620002:4623858,09:45:00,09:45:00,105052,15,8585,,0,0,1
2017903:4620002:4623858,09:45:00,09:45:00,105053,16,8758,,0,0,0
2017903:4620002:4623858,09:46:00,09:46:00,105054,17,9110,,0,0,0
2017903:4620002:4623858,09:47:00,09:47:00,105056,18,9506,,0,0,0
2017903:4620002:4623858,09:47:00,09:47:00,105065,19,9775,,0,0,0
2017903:4620002:4623858,09:48:00,09:48:00,105067,20,9972,,0,0,0
2017903:4620002:4623858,09:48:00,09:48:00,105249,21,10167,,0,0,1
2017903:4620002:4623858,09:49:00,09:49:00,105250,22,10439,,0,0,0
2017903:4620002:4623858,09:49:00,09:49:00,105251,23,10721,,0,0,0
2017903:4620002:4623858,09:49:00,09:49:00,105252,24,10892,,0,0,0
2017903:4620002:4623858,09:50:00,09:50:00,105253,25,11224,,0,0,0
2017903:4620002:4623858,09:51:00,09:51:00,105254,26,11539,,0,0,0
2017903:4620002:4623858,09:51:00,09:51:00,105255,27,11851,,0,0,0
2017903:4620002:4623858,09:52:00,09:52:00,105256,28,12091,,0,0,0
2017903:4620002:4623858,09:52:00,09:56:00,105007,29,12361,,0,0,1
2017903:4620002:4623858,09:57:00,09:57:00,105058,30,12911,,0,0,0
2017903:4620002:4623858,09:59:00,09:59:00,105059,31,14070,,0,0,0
2017903:4620002:4623858,10:04:00,10:04:00,105017,32,16839,,0,0,1
2018036:4620015:4623999,16:09:00,16:09:00,105010,1,0,,0,0,1
2018036:4620015:4623999,16:11:00,16:11:00,105285,2,807,,0,0,0
2018036:4620015:4623999,16:12:00,16:12:00,105283,3,1320,,0,0,0
2018036:4620015:4623999,16:14:00,16:14:00,180051,4,1859,,0,0,0
2018036:4620015:4623999,16:14:00,16:14:00,105021,5,2067,,0,0,1
2018036:4620015:4623999,16:16:00,16:16:00,105023,6,2360,,0,0,0
2018036:4620015:4623999,16:18:00,16:18:00,105004,7,2775,,0,0,1
2018036:4620015:4623999,16:19:00,16:19:00,105069,8,3135,,0,0,0
2018036:4620015:4623999,16:19:00,16:19:00,105071,9,3332,,0,0,0
2018036:4620015:4623999,16:19:00,16:19:00,105070,10,3550,,0,0,0
2018036:4620015:4623999,16:20:00,16:20:00,105072,11,3752,,0,0,0
2018036:4620015:4623999,16:21:00,16:21:00,105027,12,4153,,0,0,0
2018036:4620015:4623999,16:21:00,16:21:00,105028,13,4578,,0,0,0
2018036:4620015:4623999,16:22:00,16:22:00,105030,14,4901,,0,0,0
2018036:4620015:4623999,16:22:00,16:22:00,105029,15,5095,,0,0,0
2018036:4620015:4623999,16:23:00,16:23:00,105074,16,5361,,0,0,1
2018036:4620015:4623999,16:24:00,16:24:00,105136,17,5710,,0,0,0
2018036:4620015:4623999,16:25:00,16:25:00,105135,18,5945,,0,0,0
2018036:4620015:4623999,16:26:00,16:26:00,105134,19,6196,,0,0,0
2018036:4620015:4623999,16:27:00,16:27:00,180003,20,6587,,0,0,0
2018036:4620015:4623999,16:28:00,16:28:00,105031,21,6830,,0,0,0
2018036:4620015:4623999,16:29:00,16:29:00,105097,22,7068,,0,0,0
2018036:4620015:4623999,16:29:00,16:29:00,105096,23,7274,,0,0,0
2018036:4620015:4623999,16:30:00,16:30:00,105095,24,7486,,0,0,0
2018036:4620015:4623999,16:31:00,16:31:00,105094,25,7686,,0,0,0
2018036:4620015:4623999,16:31:00,16:31:00,105002,26,7840,,0,0,1
2017886:4620041:4623858,10:36:00,10:36:00,105002,1,0,,0,0,1
2017886:4620041:4623858,10:37:00,10:37:00,180035,2,357,,0,0,0
2017886:4620041:4623858,10:39:00,10:39:00,105091,3,743,,0,0,0
2017886:4620041:4623858,10:39:00,10:39:00,105090,4,915,,0,0,0
2017886:4620041:4623858,10:41:00,10:41:00,105089,5,1397,,0,0,0
2017886:4620041:4623858,10:42:00,10:42:00,105088,6,1668,,0,0,0
2017886:4620041:4623858,10:43:00,10:43:00,105087,7,1870,,0,0,0
2017886:4620041:4623858,10:43:00,10:43:00,105086,8,2070,,0,0,0
2017886:4620041:4623858,10:44:00,10:44:00,105085,9,2316,,0,0,0
2017886:4620041:4623858,10:45:00,10:45:00,105084,10,2588,,0,0,0
2017886:4620041:4623858,10:46:00,10:48:00,105003,11,2851,,0,0,1
2017886:4620041:4623858,10:49:00,10:49:00,105083,12,3140,,0,0,0
2017886:4620041:4623858,10:50:00,10:50:00,105080,13,3425,,0,0,0
2017886:4620041:4623858,10:51:00,10:51:00,105079,14,3812,,0,0,0
2017886:4620041:4623858,10:52:00,10:52:00,105078,15,4012,,0,0,0
2017886:4620041:4623858,10:53:00,10:53:00,105077,16,4343,,0,0,0
2017886:4620041:4623858,10:54:00,10:54:00,105113,17,4609,,0,0,1
2017886:4620041:4623858,11:00:00,11:00:00,105017,18,8091,,0,0,1
2018030:4620077:4623999,19:09:00,19:09:00,105010,1,0,,0,0,1
2018030:4620077:4623999,19:11:00,19:11:00,105285,2,807,,0,0,0
2018030:4620077:4623999,19:12:00,19:12:00,105283,3,1320,,0,0,0
2018030:4620077:4623999,19:14:00,19:14:00,180051,4,1859,,0,0,0
2018030:4620077:4623999,19:14:00,19:14:00,105021,5,2067,,0,0,1
2018030:4620077:4623999,19:16:00,19:16:00,105023,6,2360,,0,0,0
2018030:4620077:4623999,19:18:00,19:18:00,105004,7,2775,,0,0,1
2018030:4620077:4623999,19:19:00,19:19:00,105069,8,3135,,0,0,0
2018030:4620077:4623999,19:19:00,19:19:00,105071,9,3332,,0,0,0
2018030:4620077:4623999,19:19:00,19:19:00,105070,10,3550,,0,0,0
2018030:4620077:4623999,19:20:00,19:20:00,105072,11,3752,,0,0,0
2018030:4620077:4623999,19:21:00,19:21:00,105027,12,4153,,0,0,0
2018030:4620077:4623999,19:21:00,19:21:00,105028,13,4578,,0,0,0
2018030:4620077:4623999,19:22:00,19:22:00,105030,14,4901,,0,0,0
2018030:4620077:4623999,19:22:00,19:22:00,105029,15,5095,,0,0,0
2018030:4620077:4623999,19:23:00,19:23:00,105074,16,5361,,0,0,1
2018030:4620077:4623999,19:24:00,19:24:00,105136,17,5710,,0,0,0
2018030:4620077:4623999,19:25:00,19:25:00,105135,18,5945,,0,0,0
2018030:4620077:4623999,19:26:00,19:26:00,105134,19,6196,,0,0,0
2018030:4620077:4623999,19:27:00,19:27:00,180003,20,6587,,0,0,0
2018030:4620077:4623999,19:28:00,19:28:00,105031,21,6830,,0,0,0
2018030:4620077:4623999,19:29:00,19:29:00,105097,22,7068,,0,0,0
2018030:4620077:4623999,19:29:00,19:29:00,105096,23,7274,,0,0,0
2018030:4620077:4623999,19:30:00,19:30:00,105095,24,7486,,0,0,0
2018030:4620077:4623999,19:31:00,19:31:00,105094,25,7686,,0,0,0
