trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2286936:5402026:5406563,17:27:00,17:27:00,184157,1,0,,0,0,1
2286936:5402026:5406563,18:30:00,18:30:00,184043,2,85761,,0,0,1
2286897:5402082:5406421,13:10:00,13:10:00,184043,1,0,,0,0,1
2286897:5402082:5406421,13:11:00,13:11:00,184060,2,371,,0,0,0
2286897:5402082:5406421,13:11:00,13:11:00,184061,3,605,,0,0,0
2286897:5402082:5406421,13:15:00,13:15:00,184064,4,2184,,0,0,0
2286897:5402082:5406421,13:16:00,13:16:00,184065,5,2459,,0,0,1
2286897:5402082:5406421,13:17:00,13:17:00,184066,6,2855,,0,0,0
2286897:5402082:5406421,13:17:00,13:17:00,184067,7,3282,,0,0,0
2286897:5402082:5406421,13:18:00,13:18:00,184068,8,4005,,0,0,1
2286897:5402082:5406421,13:18:00,13:18:00,184069,9,4291,,0,0,0
2286897:5402082:5406421,13:21:00,13:21:00,184101,10,6553,,0,0,1
2286897:5402082:5406421,13:22:00,13:22:00,184102,11,7031,,0,0,0
2286897:5402082:5406421,13:24:00,13:24:00,184111,12,7726,,0,0,0
2286897:5402082:5406421,13:25:00,13:25:00,184112,13,8082,,0,0,0
2286897:5402082:5406421,13:25:00,13:25:00,184113,14,8299,,0,0,0
2286897:5402082:5406421,13:27:00,13:27:00,184115,15,8979,,0,0,0
2286897:5402082:5406421,13:28:00,13:28:00,184114,16,9308,,0,0,1
2286780:5402115:5406337,17:38:00,17:38:00,184114,1,0,,0,0,1
2286780:5402115:5406337,17:39:00,17:39:00,184116,2,613,,0,0,0
2286780:5402115:5406337,17:40:00,17:40:00,184117,3,953,,0,0,0
2286780:5402115:5406337,17:40:00,17:40:00,184118,4,1091,,0,0,0
2286780:5402115:5406337,17:41:00,17:41:00,184119,5,1326,,0,0,0
2286780:5402115:5406337,17:41:00,17:41:00,184120,6,1468,,0,0,0
2286780:5402115:5406337,17:41:00,17:41:00,184121,7,1658,,0,0,0
2286780:5402115:5406337,17:42:00,17:42:00,184122,8,2057,,0,0,0
2286780:5402115:5406337,17:43:00,17:43:00,184123,9,2484,,0,0,0
2286780:5402115:5406337,17:44:00,17:44:00,184124,10,2785,,0,0,0
2286780:5402115:5406337,17:45:00,17:45:00,184125,11,3382,,0,0,0
2286780:5402115:5406337,17:46:00,17:46:00,184126,12,3673,,0,0,0
2286780:5402115:5406337,17:46:00,17:46:00,184127,13,3916,,0,0,1
2286780:5402115:5406337,17:47:00,17:47:00,184128,14,4276,,0,0,0
2286780:5402115:5406337,17:47:00,17:47:00,184129,15,4617,,0,0,0
2286780:5402115:5406337,17:48:00,17:48:00,184130,16,4862,,0,0,0
2286780:5402115:5406337,17:48:00,17:48:00,184131,17,5225,,0,0,0
2286780:5402115:5406337,17:49:00,17:49:00,184132,18,5403,,0,0,0
2286780:5402115:5406337,17:50:00,17:50:00,184133,19,5878,,0,0,0
2286780:5402115:5406337,17:50:00,17:50:00,184134,20,6146,,0,0,1
2286780:5402115:5406337,17:50:00,17:50:00,184135,21,6356,,0,0,0
2286780:5402115:5406337,17:51:00,17:51:00,184136,22,6724,,0,0,0
2286780:5402115:5406337,17:53:00,17:53:00,184098,23,7500,,0,0,0
2286780:5402115:5406337,17:53:00,17:53:00,184099,24,7771,,0,0,1
2286780:5402115:5406337,17:58:00,17:58:00,184070,25,10437,,0,0,0
2286780:5402115:5406337,17:58:00,17:58:00,184071,26,10741,,0,0,1
2286780:5402115:5406337,18:01:00,18:01:00,184073,27,12026,,0,0,0
