trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2284005:5293240:5297041,09:05:00,09:05:00,156087,1,0,,0,0,1
2284005:5293240:5297041,09:10:00,09:10:00,156088,2,2380,,0,0,0
2284005:5293240:5297041,09:11:00,09:11:00,156101,3,2725,,0,0,0
2284005:5293240:5297041,09:12:00,09:12:00,156056,4,3214,,0,0,0
2284005:5293240:5297041,09:12:00,09:12:00,156089,5,3514,,0,0,0
2284005:5293240:5297041,09:14:00,09:14:00,156090,6,4121,,0,0,0
2284005:5293240:5297041,09:15:00,09:15:00,156051,7,4991,,0,0,0
2284005:5293240:5297041,09:16:00,09:16:00,156091,8,5477,,0,0,0
2284005:5293240:5297041,09:17:00,09:17:00,156092,9,5836,,0,0,0
2284005:5293240:5297041,09:19:00,09:19:00,156011,10,6765,,0,0,1
2284005:5293240:5297041,09:20:00,09:20:00,156094,11,7093,,0,0,0
2284005:5293240:5297041,09:22:00,09:22:00,156095,12,7499,,0,0,0
2284005:5293240:5297041,09:23:00,09:23:00,156067,13,7748,,0,0,0
2284005:5293240:5297041,09:23:00,09:23:00,156016,14,7877,,0,0,0
2284005:5293240:5297041,09:25:00,09:25:00,156096,15,8294,,0,0,0
2284005:5293240:5297041,09:26:00,09:26:00,156068,16,8469,,0,0,0
2284005:5293240:5297041,09:27:00,09:27:00,156065,17,8855,,0,0,0
2284005:5293240:5297041,09:28:00,09:28:00,156080,18,9203,,0,0,0
2284005:5293240:5297041,09:30:00,09:30:00,156060,19,9595,,0,0,1
2284005:5293240:5297041,09:30:00,09:30:00,156007,20,9813,,0,0,0
2284005:5293240:5297041,09:32:00,09:32:00,156000,21,10315,,0,0,0
2284005:5293240:5297041,09:32:00,09:32:00,156001,22,10662,,0,0,0
2284005:5293240:5297041,09:34:00,09:34:00,156074,23,11244,,0,0,0
2284005:5293240:5297041,09:35:00,09:35:00,156003,24,11855,,0,0,0
2284005:5293240:5297041,09:36:00,09:36:00,156002,25,12127,,0,0,0
2284005:5293240:5297041,09:37:00,09:37:00,156076,26,12726,,0,0,1
2284005:5293240:5297041,09:37:00,09:37:00,156077,27,12823,,0,0,0
2284005:5293240:5297041,09:42:00,09:42:00,156083,28,18266,,0,0,1
2284033:5293259:5297115,13:00:00,13:00:00,156083,1,0,,0,0,1
2284033:5293259:5297115,13:01:00,13:01:00,156078,2,608,,0,0,0
2284033:5293259:5297115,13:05:00,13:05:00,156076,3,5419,,0,0,1
2284033:5293259:5297115,13:05:00,13:05:00,156077,4,5516,,0,0,0
2284033:5293259:5297115,13:08:00,13:08:00,156099,5,6503,,0,0,0
2284033:5293259:5297115,13:09:00,13:09:00,156074,6,7125,,0,0,0
2284033:5293259:5297115,13:10:00,13:10:00,156073,7,7699,,0,0,0
