trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2302000:5449951:5455998,10:20:00,10:20:00,117007,1,0,,0,0,1
2302000:5449951:5455998,10:26:00,10:26:00,117012,2,3614,,0,0,1
2302000:5449951:5455998,10:33:00,10:33:00,117017,3,7919,,0,0,1
2302000:5449951:5455998,10:44:00,10:44:00,117014,4,13826,,0,0,1
2301983:5449967:5455752,14:30:00,14:30:00,117007,1,0,,0,0,1
2301983:5449967:5455752,14:36:00,14:36:00,117012,2,3614,,0,0,1
2301983:5449967:5455752,14:43:00,14:43:00,117017,3,7919,,0,0,1
2301983:5449967:5455752,14:54:00,14:54:00,117014,4,13826,,0,0,1
2301961:5449988:5455939,22:05:00,22:05:00,117007,1,0,,0,0,1
2301961:5449988:5455939,22:07:00,22:07:00,117009,2,1278,,0,0,0
2301961:5449988:5455939,22:11:00,22:11:00,117028,3,3597,,0,0,1
2301961:5449988:5455939,22:15:00,22:15:00,117019,4,7154,,0,0,1
2301961:5449988:5455939,22:21:00,22:21:00,117013,5,9384,,0,0,1
2301961:5449988:5455939,22:25:00,22:25:00,117032,6,11933,,0,0,1
2301961:5449988:5455939,22:27:00,22:27:00,117012,7,12946,,0,0,1
2301961:5449988:5455939,22:33:00,22:33:00,117014,8,17946,,0,0,1
2301961:5449988:5455939,22:45:00,22:45:00,117008,9,25819,,0,0,0
2301961:5449988:5455939,22:48:00,22:48:00,117007,10,27427,,0,0,1
2302002:5450000:5455998,10:00:00,10:00:00,117007,1,0,,0,0,1
2302002:5450000:5455998,10:03:00,10:03:00,117021,2,1866,,0,0,1
2302002:5450000:5455998,10:06:00,10:06:00,117031,3,2658,,0,0,1
2302002:5450000:5455998,10:10:00,10:10:00,117018,4,4328,,0,0,1
2302002:5450000:5455998,10:13:00,10:13:00,117008,5,5237,,0,0,0
2302002:5450000:5455998,10:17:00,10:17:00,117007,6,6845,,0,0,1
2302177:5450159:5455938,06:20:00,06:20:00,117007,1,0,,0,0,1
2302177:5450159:5455938,06:22:00,06:22:00,117009,2,1278,,0,0,0
2302177:5450159:5455938,06:23:00,06:23:00,117018,3,2527,,0,0,0
2302177:5450159:5455938,06:26:00,06:26:00,117012,4,4411,,0,0,1
2302177:5450159:5455938,06:33:00,06:33:00,117017,5,8716,,0,0,1
2302177:5450159:5455938,06:44:00,06:44:00,117014,6,14623,,0,0,1
2302177:5450159:5455938,06:53:00,06:53:00,117028,7,20278,,0,0,1
2302177:5450159:5455938,06:55:00,06:55:00,117029,8,21222,,0,0,1
2302177:5450159:5455938,06:59:00,06:59:00,117013,9,23774,,0,0,1
2302177:5450159:5455938,07:03:00,07:03:00,117019,10,25906,,0,0,1
2302177:5450159:5455938,07:07:00,07:07:00,117022,11,28173,,0,0,1
2302177:5450159:5455938,07:11:00,07:11:00,117008,12,30480,,0,0,0
2302177:5450159:5455938,07:14:00,07:14:00,117007,13,32088,,0,0,1
2302014:5450197:5455759,06:20:00,06:20:00,117007,1,0,,0,0,1
2302014:5450197:5455759,06:22:00,06:22:00,117009,2,1278,,0,0,0
2302014:5450197:5455759,06:23:00,06:23:00,117018,3,2527,,0,0,0
2302014:5450197:5455759,06:26:00,06:26:00,117012,4,4411,,0,0,1
2302014:5450197:5455759,06:33:00,06:33:00,117017,5,8716,,0,0,1
2302014:5450197:5455759,06:44:00,06:44:00,117014,6,14623,,0,0,1
2302014:5450197:5455759,06:53:00,06:53:00,117028,7,20278,,0,0,1
2302014:5450197:5455759,06:55:00,06:55:00,117029,8,21222,,0,0,1
2302014:5450197:5455759,06:59:00,06:59:00,117013,9,23774,,0,0,1
2302014:5450197:5455759,07:03:00,07:03:00,117019,10,25906,,0,0,1
2302014:5450197:5455759,07:07:00,07:07:00,117022,11,28173,,0,0,1
2302014:5450197:5455759,07:11:00,07:11:00,117008,12,30480,,0,0,0
2302014:5450197:5455759,07:14:00,07:14:00,117007,13,32088,,0,0,1
2302210:5450198:5455996,17:10:00,17:10:00,117007,1,0,,0,0,1
2302210:5450198:5455996,17:16:00,17:16:00,117005,2,4699,,0,0,1
2302210:5450198:5455996,17:23:00,17:23:00,117003,3,9840,,0,0,1
2302210:5450198:5455996,17:27:00,17:27:00,117002,4,13277,,0,0,1
2302210:5450198:5455996,17:30:00,17:30:00,117000,5,14763,,0,0,1
2302189:5450203:5455997,17:40:00,17:40:00,117007,1,0,,0,0,1
2302189:5450203:5455997,17:51:00,17:51:00,117024,2,6392,,0,0,1
2302189:5450203:5455997,17:55:00,17:55:00,117006,3,9482,,0,0,1
2302189:5450203:5455997,18:01:00,18:01:00,117007,4,13506,,0,0,1
2302021:5450229:5455998,14:27:00,14:27:00,117007,1,0,,0,0,1
2302021:5450229:5455998,14:29:00,14:29:00,117009,2,1278,,0,0,0
2302021:5450229:5455998,14:33:00,14:33:00,117028,3,3597,,0,0,1
2302021:5450229:5455998,14:35:00,14:35:00,117029,4,4541,,0,0,0
2302021:5450229:5455998,14:37:00,14:37:00,117025,5,5769,,0,0,1
2302021:5450229:5455998,14:43:00,14:43:00,117013,6,7899,,0,0,1
2302164:5450242:5455997,14:52:00,14:52:00,117011,1,0,,0,0,1
2302164:5450242:5455997,14:55:00,14:55:00,117020,2,2331,,0,0,1
