trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2085316:1961797:2172917,13:25:00,13:25:00,144276,1,0,,0,0,1
2085316:1961797:2172917,13:28:00,13:28:00,144039,2,724,,0,0,0
2085316:1961797:2172917,13:30:00,13:30:00,144040,3,1044,,0,0,0
2085316:1961797:2172917,13:31:00,13:31:00,144304,4,1323,,0,0,1
2085316:1961797:2172917,13:33:00,13:33:00,144074,5,2095,,0,0,0
2085316:1961797:2172917,13:34:00,13:34:00,144076,6,2442,,0,0,0
2085316:1961797:2172917,13:34:00,13:34:00,144077,7,2655,,0,0,0
2085316:1961797:2172917,13:35:00,13:35:00,144079,8,3127,,0,0,0
2085316:1961797:2172917,13:36:00,13:36:00,144081,9,3437,,0,0,0
2085316:1961797:2172917,13:36:00,13:36:00,144082,10,3643,,0,0,0
2085316:1961797:2172917,13:37:00,13:37:00,144083,11,3933,,0,0,1
2085316:1961797:2172917,13:40:00,13:40:00,144084,12,4479,,0,0,0
2085316:1961797:2172917,13:44:00,13:44:00,144087,13,5163,,0,0,0
2085316:1961797:2172917,13:45:00,13:45:00,144319,14,5446,,0,0,1
2085316:1961797:2172917,13:47:00,13:47:00,144089,15,6044,,0,0,0
2085316:1961797:2172917,13:49:00,13:49:00,144092,16,6720,,0,0,0
2085316:1961797:2172917,13:50:00,13:50:00,144093,17,7169,,0,0,0
2085316:1961797:2172917,13:51:00,13:51:00,144094,18,7353,,0,0,1
2085267:1961802:2172917,08:54:00,08:54:00,144276,1,0,,0,0,1
2085267:1961802:2172917,08:56:00,08:56:00,144283,2,679,,0,0,0
2085267:1961802:2172917,08:56:00,08:56:00,144278,3,847,,0,0,0
2085267:1961802:2172917,08:57:00,08:57:00,144136,4,1065,,0,0,0
2085267:1961802:2172917,08:57:00,08:57:00,144137,5,1300,,0,0,0
2085267:1961802:2172917,08:59:00,08:59:00,144139,6,1917,,0,0,0
2085267:1961802:2172917,09:00:00,09:00:00,144140,7,2252,,0,0,0
2085267:1961802:2172917,09:01:00,09:01:00,144141,8,2476,,0,0,0
2085267:1961802:2172917,09:01:00,09:01:00,144142,9,2753,,0,0,0
2085267:1961802:2172917,09:02:00,09:02:00,144143,10,2925,,0,0,0
2085267:1961802:2172917,09:03:00,09:03:00,144144,11,3299,,0,0,0
2085267:1961802:2172917,09:04:00,09:04:00,144146,12,3670,,0,0,1
2085267:1961802:2172917,09:04:00,09:04:00,144147,13,3891,,0,0,0
2085267:1961802:2172917,09:05:00,09:05:00,144148,14,4242,,0,0,0
2085267:1961802:2172917,09:06:00,09:06:00,144149,15,4845,,0,0,0
2085267:1961802:2172917,09:07:00,09:07:00,144151,16,5183,,0,0,0
2085267:1961802:2172917,09:08:00,09:08:00,144153,17,5682,,0,0,0
2085267:1961802:2172917,09:08:00,09:08:00,144154,18,5917,,0,0,1
2085267:1961802:2172917,09:09:00,09:09:00,144155,19,6123,,0,0,0
2085267:1961802:2172917,09:09:00,09:09:00,144156,20,6307,,0,0,0
2085267:1961802:2172917,09:10:00,09:10:00,144157,21,6501,,0,0,0
2085267:1961802:2172917,09:11:00,09:11:00,144158,22,6732,,0,0,0
2085267:1961802:2172917,09:12:00,09:12:00,144159,23,6935,,0,0,0
2085267:1961802:2172917,09:13:00,09:13:00,144161,24,7384,,0,0,0
2085267:1961802:2172917,09:14:00,09:14:00,144162,25,7620,,0,0,1
2085267:1961802:2172917,09:15:00,09:15:00,144259,26,7892,,0,0,0
2085267:1961802:2172917,09:16:00,09:16:00,144163,27,8271,,0,0,0
2085267:1961802:2172917,09:17:00,09:17:00,144177,28,8623,,0,0,0
2085267:1961802:2172917,09:17:00,09:17:00,144164,29,8834,,0,0,0
2085267:1961802:2172917,09:19:00,09:19:00,144272,30,9244,,0,0,0
2085267:1961802:2172917,09:20:00,09:20:00,144276,31,9736,,0,0,1
2085496:1961813:3162115,14:45:00,14:45:00,144170,1,0,,0,0,1
2085496:1961813:3162115,14:49:00,14:49:00,144173,2,2689,,0,0,0
2085496:1961813:3162115,14:50:00,14:50:00,144174,3,2934,,0,0,0
2085496:1961813:3162115,14:50:00,14:50:00,144175,4,3124,,0,0,1
2085496:1961813:3162115,14:51:00,14:51:00,144176,5,3503,,0,0,0
2085496:1961813:3162115,14:52:00,14:52:00,144177,6,3778,,0,0,0
2085496:1961813:3162115,14:53:00,14:53:00,144164,7,3989,,0,0,0
2085496:1961813:3162115,14:55:00,14:55:00,144272,8,4399,,0,0,0
2085496:1961813:3162115,14:57:00,14:57:00,144037,9,4988,,0,0,1
2087796:1961844:1978100,11:59:00,11:59:00,144094,1,0,,0,0,1
