trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2281048:4343349:4355859,07:45:00,07:45:00,194000,1,0,,0,0,1
2281048:4343349:4355859,07:46:00,07:46:00,194003,2,320,,0,0,0
2281048:4343349:4355859,07:46:00,07:46:00,194005,3,526,,0,0,0
2281048:4343349:4355859,07:47:00,07:47:00,194007,4,966,,0,0,1
2281048:4343349:4355859,07:48:00,07:48:00,194008,5,1515,,0,0,0
2281048:4343349:4355859,07:48:00,07:48:00,194015,6,1870,,0,0,0
2281048:4343349:4355859,07:48:00,07:48:00,194016,7,2092,,0,0,0
2281048:4343349:4355859,07:48:00,07:48:00,194017,8,2251,,0,0,0
2281048:4343349:4355859,07:48:00,07:48:00,194018,9,2573,,0,0,0
2281048:4343349:4355859,07:49:00,07:49:00,194019,10,2754,,0,0,0
2281048:4343349:4355859,07:49:00,07:49:00,194020,11,2951,,0,0,0
2281048:4343349:4355859,07:49:00,07:49:00,194021,12,3115,,0,0,0
2281048:4343349:4355859,07:49:00,07:49:00,194022,13,3264,,0,0,0
2281048:4343349:4355859,07:49:00,07:49:00,194023,14,3450,,0,0,0
2281048:4343349:4355859,07:50:00,07:50:00,194024,15,3732,,0,0,0
2281048:4343349:4355859,07:50:00,07:50:00,194025,16,4220,,0,0,1
2281048:4343349:4355859,07:51:00,07:51:00,194026,17,4463,,0,0,0
2281048:4343349:4355859,07:51:00,07:51:00,194027,18,4652,,0,0,0
2281048:4343349:4355859,07:52:00,07:52:00,194028,19,4832,,0,0,0
2281048:4343349:4355859,07:53:00,07:53:00,194029,20,5190,,0,0,0
2281048:4343349:4355859,07:56:00,07:56:00,194014,21,5937,,0,0,0
2281048:4343349:4355859,07:57:00,07:57:00,194013,22,6182,,0,0,0
2281048:4343349:4355859,07:58:00,07:58:00,194006,23,6530,,0,0,0
2281048:4343349:4355859,07:59:00,07:59:00,194004,24,6774,,0,0,0
2281048:4343349:4355859,08:00:00,08:00:00,194000,25,7112,,0,0,1
2281019:4343455:4355859,10:45:00,10:45:00,194000,1,0,,0,0,1
2281019:4343455:4355859,10:46:00,10:46:00,194003,2,320,,0,0,0
2281019:4343455:4355859,10:46:00,10:46:00,194005,3,526,,0,0,0
2281019:4343455:4355859,10:47:00,10:47:00,194007,4,966,,0,0,1
2281019:4343455:4355859,10:48:00,10:48:00,194008,5,1515,,0,0,0
2281019:4343455:4355859,10:48:00,10:48:00,194015,6,1870,,0,0,0
2281019:4343455:4355859,10:48:00,10:48:00,194016,7,2092,,0,0,0
2281019:4343455:4355859,10:48:00,10:48:00,194017,8,2251,,0,0,0
2281019:4343455:4355859,10:48:00,10:48:00,194018,9,2573,,0,0,0
2281019:4343455:4355859,10:49:00,10:49:00,194019,10,2754,,0,0,0
2281019:4343455:4355859,10:49:00,10:49:00,194020,11,2951,,0,0,0
2281019:4343455:4355859,10:49:00,10:49:00,194021,12,3115,,0,0,0
2281019:4343455:4355859,10:49:00,10:49:00,194022,13,3264,,0,0,0
2281019:4343455:4355859,10:49:00,10:49:00,194023,14,3450,,0,0,0
2281019:4343455:4355859,10:50:00,10:50:00,194024,15,3732,,0,0,0
2281019:4343455:4355859,10:50:00,10:50:00,194025,16,4220,,0,0,1
2281019:4343455:4355859,10:51:00,10:51:00,194026,17,4463,,0,0,0
2281019:4343455:4355859,10:51:00,10:51:00,194027,18,4652,,0,0,0
2281019:4343455:4355859,10:52:00,10:52:00,194028,19,4832,,0,0,0
2281019:4343455:4355859,10:53:00,10:53:00,194029,20,5190,,0,0,0
2281019:4343455:4355859,10:56:00,10:56:00,194014,21,5937,,0,0,0
2281019:4343455:4355859,10:57:00,10:57:00,194013,22,6182,,0,0,0
2281019:4343455:4355859,10:58:00,10:58:00,194006,23,6530,,0,0,0
2281019:4343455:4355859,10:59:00,10:59:00,194004,24,6774,,0,0,0
2281019:4343455:4355859,11:00:00,11:00:00,194000,25,7112,,0,0,1
2281047:4343538:4355859,21:30:00,21:30:00,194000,1,0,,0,0,1
2281047:4343538:4355859,21:30:00,21:30:00,194001,2,192,,0,0,0
2281047:4343538:4355859,21:34:00,21:34:00,194084,3,1816,,0,0,0
2281047:4343538:4355859,21:34:00,21:34:00,194083,4,2051,,0,0,0
