trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2273594:2564495:4657523,07:34:00,07:34:00,160087,1,0,,0,0,1
2273594:2564495:4657523,07:35:00,07:35:00,160086,2,270,,0,0,0
2273594:2564495:4657523,07:36:00,07:36:00,160202,3,1093,,0,0,0
2273594:2564495:4657523,07:37:00,07:37:00,160203,4,1353,,0,0,0
2273594:2564495:4657523,07:39:00,07:39:00,160046,5,2347,,0,0,1
2273594:2564495:4657523,07:42:00,07:42:00,160075,6,3507,,0,0,0
2273594:2564495:4657523,07:43:00,07:43:00,160074,7,3910,,0,0,0
2273594:2564495:4657523,07:44:00,07:44:00,160071,8,4310,,0,0,1
2273594:2564495:4657523,07:49:00,07:49:00,160044,9,7299,,0,0,0
2273594:2564495:4657523,07:52:00,07:52:00,160056,10,9234,,0,0,0
2273594:2564495:4657523,07:53:00,07:53:00,160055,11,9707,,0,0,0
2273594:2564495:4657523,07:53:00,07:53:00,160051,12,9843,,0,0,0
2273594:2564495:4657523,07:54:00,07:54:00,160205,13,10179,,0,0,1
2273562:2564500:4657341,15:35:00,15:35:00,160087,1,0,,0,0,1
2273562:2564500:4657341,15:36:00,15:36:00,160086,2,270,,0,0,0
2273562:2564500:4657341,15:38:00,15:38:00,160104,3,1105,,0,0,0
2273562:2564500:4657341,15:39:00,15:39:00,160103,4,1339,,0,0,1
2273562:2564500:4657341,15:40:00,15:40:00,160356,5,1641,,0,0,0
2273562:2564500:4657341,15:40:00,15:40:00,160593,6,1833,,0,0,0
2273562:2564500:4657341,15:41:00,15:41:00,160591,7,2046,,0,0,0
2273562:2564500:4657341,15:42:00,15:42:00,160119,8,2427,,0,0,0
2273562:2564500:4657341,15:43:00,15:43:00,160354,9,2636,,0,0,0
2273562:2564500:4657341,15:44:00,15:44:00,160128,10,3120,,0,0,0
2273562:2564500:4657341,15:45:00,15:45:00,160122,11,3332,,0,0,1
2273562:2564500:4657341,15:46:00,15:46:00,160125,12,3606,,0,0,0
2273562:2564500:4657341,15:47:00,15:47:00,160121,13,3850,,0,0,0
2273562:2564500:4657341,15:49:00,15:49:00,160189,14,4515,,0,0,0
2273562:2564500:4657341,15:49:00,15:49:00,160192,15,4749,,0,0,0
2273562:2564500:4657341,15:50:00,15:50:00,160187,16,4889,,0,0,0
2273562:2564500:4657341,15:50:00,15:50:00,160130,17,5118,,0,0,0
2273562:2564500:4657341,15:51:00,15:51:00,160132,18,5294,,0,0,0
2273562:2564500:4657341,15:52:00,15:52:00,160034,19,5703,,0,0,0
2273562:2564500:4657341,15:53:00,15:53:00,160196,20,5980,,0,0,1
2273562:2564500:4657341,15:54:00,15:54:00,160036,21,6319,,0,0,0
2273562:2564500:4657341,15:58:00,15:58:00,160164,22,9019,,0,0,0
2273562:2564500:4657341,15:59:00,15:59:00,160382,23,9495,,0,0,1
2273562:2564500:4657341,16:01:00,16:01:00,160133,24,10298,,0,0,0
2273562:2564500:4657341,16:03:00,16:03:00,160032,25,10816,,0,0,1
2273562:2564500:4657341,16:07:00,16:07:00,160367,26,13169,,0,0,0
2273562:2564500:4657341,16:07:00,16:07:00,160166,27,13440,,0,0,0
2273562:2564500:4657341,16:07:00,16:07:00,160168,28,13688,,0,0,0
