trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2443998:4329870:4577262,14:40:00,14:40:00,102714,1,0,,0,0,1
2443998:4329870:4577262,14:42:00,14:42:00,102456,2,667,,0,0,0
2443998:4329870:4577262,14:42:00,14:42:00,102462,3,883,,0,0,0
2443998:4329870:4577262,14:43:00,14:43:00,102466,4,1053,,0,0,0
2443998:4329870:4577262,14:44:00,14:44:00,102479,5,1304,,0,0,0
2443998:4329870:4577262,14:45:00,14:45:00,102496,6,1749,,0,0,0
2443998:4329870:4577262,14:46:00,14:46:00,102503,7,2164,,0,0,0
2443998:4329870:4577262,14:47:00,14:47:00,102517,8,2531,,0,0,1
2443998:4329870:4577262,14:48:00,14:48:00,102535,9,2842,,0,0,0
2443998:4329870:4577262,14:48:00,14:48:00,102542,10,3073,,0,0,0
2443998:4329870:4577262,14:50:00,14:50:00,102594,11,4338,,0,0,0
2443998:4329870:4577262,14:51:00,14:51:00,102600,12,4792,,0,0,1
2443998:4329870:4577262,14:54:00,14:54:00,102622,13,5487,,0,0,1
2443915:4329940:4579836,21:05:00,21:05:00,102717,1,0,,0,0,1
2443915:4329940:4579836,21:06:00,21:06:00,102456,2,598,,0,0,0
2443915:4329940:4579836,21:07:00,21:07:00,102462,3,814,,0,0,0
2443915:4329940:4579836,21:07:00,21:07:00,102466,4,984,,0,0,0
2443915:4329940:4579836,21:08:00,21:08:00,102479,5,1235,,0,0,0
2443915:4329940:4579836,21:09:00,21:09:00,102496,6,1680,,0,0,0
2443915:4329940:4579836,21:10:00,21:10:00,102520,7,2158,,0,0,0
2443915:4329940:4579836,21:11:00,21:11:00,102526,8,2403,,0,0,0
2443915:4329940:4579836,21:11:00,21:11:00,102528,9,2529,,0,0,0
2443915:4329940:4579836,21:11:00,21:11:00,102525,10,2664,,0,0,0
2443915:4329940:4579836,21:12:00,21:12:00,102529,11,2984,,0,0,1
2443915:4329940:4579836,21:12:00,21:12:00,102521,12,3152,,0,0,0
2443915:4329940:4579836,21:14:00,21:14:00,102497,13,3748,,0,0,1
2443915:4329940:4579836,21:16:00,21:16:00,102494,14,4406,,0,0,0
2443915:4329940:4579836,21:17:00,21:17:00,102502,15,4653,,0,0,0
2443915:4329940:4579836,21:17:00,21:17:00,102493,16,4957,,0,0,0
2443915:4329940:4579836,21:17:00,21:17:00,102483,17,5214,,0,0,0
2443915:4329940:4579836,21:20:00,21:20:00,102455,18,6263,,0,0,0
2443915:4329940:4579836,21:22:00,21:22:00,102717,19,6836,,0,0,1
2444141:4329965:4343064,07:40:00,07:40:00,102716,1,0,,0,0,1
2444141:4329965:4343064,07:41:00,07:41:00,102454,2,505,,0,0,1
2444141:4329965:4343064,07:41:00,07:41:00,102460,3,664,,0,0,0
2444141:4329965:4343064,07:42:00,07:42:00,102465,4,852,,0,0,0
2444141:4329965:4343064,07:43:00,07:43:00,102480,5,1239,,0,0,0
2444141:4329965:4343064,07:43:00,07:43:00,102492,6,1431,,0,0,0
2444141:4329965:4343064,07:43:00,07:43:00,102499,7,1528,,0,0,0
2444141:4329965:4343064,07:44:00,07:44:00,102508,8,1729,,0,0,0
2444141:4329965:4343064,07:44:00,07:44:00,102516,9,1888,,0,0,0
2444141:4329965:4343064,07:45:00,07:45:00,102522,10,2019,,0,0,0
2444141:4329965:4343064,07:45:00,07:45:00,102515,11,2167,,0,0,1
2444141:4329965:4343064,07:45:00,07:45:00,102505,12,2318,,0,0,0
2444141:4329965:4343064,07:46:00,07:46:00,102491,13,2620,,0,0,0
2444141:4329965:4343064,07:46:00,07:46:00,102485,14,2838,,0,0,0
2444141:4329965:4343064,07:46:00,07:46:00,102478,15,2982,,0,0,1
2444141:4329965:4343064,07:48:00,07:48:00,102476,16,3692,,0,0,1
2444141:4329965:4343064,07:50:00,07:50:00,102471,17,4493,,0,0,0
2444141:4329965:4343064,07:51:00,07:51:00,102473,18,4791,,0,0,0
2444141:4329965:4343064,07:52:00,07:52:00,102484,19,4973,,0,0,0
2444141:4329965:4343064,07:52:00,07:52:00,102481,20,5184,,0,0,0
2444141:4329965:4343064,07:53:00,07:53:00,102468,21,5454,,0,0,0
2444141:4329965:4343064,07:53:00,07:53:00,102463,22,5616,,0,0,0
2444141:4329965:4343064,07:54:00,07:54:00,102453,23,5848,,0,0,0
