trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2287010:5412933:5417811,14:20:00,14:20:00,186025,1,0,,0,0,1
2287010:5412933:5417811,14:20:00,14:20:00,186073,2,224,,0,0,0
2287010:5412933:5417811,14:26:00,14:26:00,186001,3,3387,,0,0,0
2287010:5412933:5417811,14:26:00,14:26:00,186012,4,3513,,0,0,1
2287010:5412933:5417811,14:26:00,14:26:00,186011,5,3722,,0,0,0
2287010:5412933:5417811,14:27:00,14:27:00,186010,6,4019,,0,0,0
2287010:5412933:5417811,14:28:00,14:28:00,186009,7,4516,,0,0,0
2287010:5412933:5417811,14:28:00,14:28:00,186008,8,4816,,0,0,0
2287010:5412933:5417811,14:30:00,14:30:00,186007,9,5409,,0,0,0
2287010:5412933:5417811,14:30:00,14:30:00,186006,10,5823,,0,0,0
2287010:5412933:5417811,14:31:00,14:31:00,186002,11,6150,,0,0,1
2287010:5412933:5417811,14:31:00,14:31:00,186005,12,6393,,0,0,0
2287010:5412933:5417811,14:33:00,14:33:00,186004,13,7101,,0,0,0
2287010:5412933:5417811,14:34:00,14:34:00,186074,14,7378,,0,0,0
2287010:5412933:5417811,14:34:00,14:34:00,186003,15,7797,,0,0,0
2287010:5412933:5417811,14:35:00,14:35:00,186013,16,7971,,0,0,0
2287010:5412933:5417811,14:35:00,14:35:00,186014,17,8113,,0,0,1
2287010:5412933:5417811,14:36:00,14:36:00,186015,18,8491,,0,0,0
2287010:5412933:5417811,14:38:00,14:38:00,186016,19,8911,,0,0,0
2287010:5412933:5417811,14:40:00,14:40:00,186017,20,9311,,0,0,0
2287010:5412933:5417811,14:40:00,14:40:00,186018,21,9521,,0,0,0
2287010:5412933:5417811,14:41:00,14:41:00,186020,22,9749,,0,0,1
2287010:5412933:5417811,14:42:00,14:42:00,186019,23,10098,,0,0,0
2287010:5412933:5417811,14:42:00,14:42:00,186021,24,10260,,0,0,0
2287010:5412933:5417811,14:43:00,14:43:00,186022,25,10510,,0,0,0
2287010:5412933:5417811,14:45:00,14:45:00,186024,26,11139,,0,0,0
2287010:5412933:5417811,14:45:00,14:45:00,186025,27,11264,,0,0,1
2286998:5413037:5417791,13:15:00,13:15:00,186025,1,0,,0,0,1
2286998:5413037:5417791,13:16:00,13:16:00,186073,2,224,,0,0,0
2286998:5413037:5417791,13:17:00,13:17:00,186023,3,634,,0,0,0
2286998:5413037:5417791,13:18:00,13:18:00,186044,4,901,,0,0,0
2286998:5413037:5417791,13:19:00,13:19:00,186045,5,1109,,0,0,0
2286998:5413037:5417791,13:20:00,13:20:00,186046,6,1443,,0,0,1
2286998:5413037:5417791,13:21:00,13:21:00,186047,7,1712,,0,0,0
2286998:5413037:5417791,13:21:00,13:21:00,186048,8,1897,,0,0,0
2286998:5413037:5417791,13:22:00,13:22:00,186049,9,2507,,0,0,0
2286998:5413037:5417791,13:23:00,13:23:00,186050,10,2919,,0,0,0
