trip_id,arrival_time,time_diff,minutes_past_midnight,period
13678409, 7:38:35,0.0,458.5833333333333,Morning
13678412, 8:42:35,64.0,522.5833333333334,Morning
13678430, 9:43:27,60.86666666666667,583.45,Morning
13678427,10:14:27,31.0,614.45,Morning
13678404,10:45:27,31.0,645.45,Morning
13678433,11:15:27,30.0,675.45,Morning
13678423,11:45:27,30.0,705.45,Morning
13678435,12:15:27,30.0,735.45,Midday
13678413,12:43:21,27.9,763.35,Midday
13678417,13:17:21,34.0,797.35,Midday
13678414,13:47:21,30.0,827.35,Midday
13678420,14:11:21,24.0,851.35,Midday
13678424,14:41:21,30.0,881.35,Midday
13678432,15:12:21,31.0,912.35,Midday
13678428,15:42:21,30.0,942.35,Midday
13678419,16:12:21,30.0,972.35,Midday
13678415,16:43:12,30.85,1003.2,Late Afternoon
13678407,17:14:12,31.0,1034.2,Late Afternoon
13678425,17:49:12,35.0,1069.2,Late Afternoon
13678410,18:19:12,30.0,1099.2,Late Afternoon
13678434,18:49:12,30.0,1129.2,Late Afternoon
13678405,19:19:12,30.0,1159.2,Late Afternoon
13678426,19:49:12,30.0,1189.2,Late Afternoon
13678431,20:17:21,28.15,1217.35,Late Afternoon
13678418,20:46:21,29.0,1246.35,Night
13678416,21:16:21,30.0,1276.35,Night
13678429,21:44:27,28.1,1304.45,Night
13678406,22:12:27,28.0,1332.45,Night
13678422,22:43:27,31.0,1363.45,Night
13678421,23:13:27,30.0,1393.45,Night
13678436,23:43:27,30.0,1423.45,Night
13678411,24:18:27,35.0,18.45,Overnight
13678408,24:55:44,37.28333333333333,55.733333333333334,Overnight
